"ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo","Photo","Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
"EC048","Italy","Etichette, collari","Etichette tubazioni","Etichette piccole per tubazioni di argon (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di argon",,"1.00","Etichette-piccole-per-tubazioni-di-argon.jpg",FALSO,FALSO,"SMR","N011",,
"EC049","Italy","Etichette, collari","Etichette tubazioni","Etichette grandi per tubazioni di argon (20 fogli da 4 pezzi ciascuno)","Etichette grandi per tubazioni di argon",,"32.80","Etichette-piccole-per-tubazioni-di-argon.jpg",FALSO,FALSO,"SMR","N011",,
"EC050","Italy","Etichette, collari","Etichette tubazioni","Etichette piccole per tubazioni di aria industriale (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di aria industriale",,"1.00","Etichette-grandi-per-tubazioni-di-aria-industriale.jpg",FALSO,FALSO,"SMR","N011",,
"EC051","Italy","Etichette, collari","Etichette tubazioni","Etichette grandi per tubazioni di aria industriale (20 fogli da 4 pezzi ciascuno)","Etichette grandi per tubazioni di aria industriale",,"32.80","Etichette-grandi-per-tubazioni-di-aria-industriale.jpg",FALSO,FALSO,"SMR","N011",,
"EC052","Italy","Etichette, collari","Etichette tubazioni","Etichette piccole per tubazioni di azoto (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di azoto",,"1.00","Etichette-grandi-per-tubazioni-di-azoto.jpg",FALSO,FALSO,"SMR","N011",,
"EC053","Italy","Etichette, collari","Etichette tubazioni","Etichette grandi per tubazioni di azoto (20 fogli da 4 pezzi ciascuno)","Etichette grandi per tubazioni di azoto",,"32.80","Etichette-grandi-per-tubazioni-di-azoto.jpg",FALSO,FALSO,"SMR","N011",,
"EC054","Italy","Etichette, collari","Etichette tubazioni","Etichette piccole per tubazioni di elio (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di elio",,"1.00","Etichette-grandi-per-tubazioni-di-elio.jpg",FALSO,FALSO,"SMR","N011",,
"EC055","Italy","Etichette, collari","Etichette tubazioni","Etichette grandi per tubazioni di elio (20 fogli da 4 pezzi ciascuno)","Etichette grandi per tubazioni di elio",,"32.80","Etichette-grandi-per-tubazioni-di-elio.jpg",FALSO,FALSO,"SMR","N011",,
"EC056","Italy","Etichette, collari","Etichette tubazioni","Etichette piccole per tubazioni di idrogeno (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di idrogeno",,"1.00","Etichette-grandi-per-tubazioni-di-idrogeno.jpg",FALSO,FALSO,"SMR","N011",,
"EC057","Italy","Etichette, collari","Etichette tubazioni","Etichette grandi per tubazioni di idrogeno (20 fogli da 4 pezzi ciascuno)","Etichette grandi per tubazioni di idrogeno",,"32.80","Etichette-grandi-per-tubazioni-di-idrogeno.jpg",FALSO,FALSO,"SMR","N011",,
