"ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo","Photo","Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
"PP029","Italy","Prodotti promozionali","SOL","Borsa bianca di juta","Borsa bianca di juta",1,"100","Borsa-bianca-di-juta.jpg",FALSO,FALSO,"SMR","N016",,
"PP030","Italy","Prodotti promozionali","SOL","Cartelletta plastificata","Cartelletta plastificata",1,"100",,FALSO,FALSO,"SMR","N016",,
"PP031","Italy","Prodotti promozionali","SOL","Borsa blu di juta","Borsa blu di juta",1,"100","Borsa-blu-di-juta.jpg",FALSO,FALSO,"SMR","N016",,
"PP032","Italy","Prodotti promozionali","SOL","Porta CD","Porta CD",1,"300",,FALSO,FALSO,"SMR","N016",,
"PP033","Italy","Prodotti promozionali","SOL","Gel igienizzante SOL","Gel igienizzante SOL",1,"200",,FALSO,FALSO,"SMR","N016",,
"PP034","Italy","Prodotti promozionali","SOL","Cartellina SOLution point","Cartellina SOLution point",1,"100","Cartellina-SOLution-point.jpg",FALSO,FALSO,"SMR","N016",,
"PP035","Italy","Prodotti promozionali","VIVISOL","Kit per congresso provinciale o stage","Kit per congresso provinciale o stage",1,"40000",,FALSO,FALSO,"SMR","N016",,
"PP036","Italy","Prodotti promozionali","VIVISOL","Penne con logo VIVISOL","Penne con logo VIVISOL",1,"60",,FALSO,FALSO,"SMR","N016",,
"PP037","Italy","Prodotti promozionali","VIVISOL","VIVISOL folder (solo per l'Italia)","VIVISOL folder (solo per l'Italia)",1,"90","VIVISOL-Folders.jpg",FALSO,FALSO,"SMR","N016",,
"PP038","Italy","Prodotti promozionali","VIVISOL","Blocco note VIVISOL","Blocco note VIVISOL",1,"120","Blocco-note-VIVISOL.jpg",FALSO,FALSO,"SMR","N016",,
"PP039","Italy","Prodotti promozionali","VIVISOL","Kit per congresso internazionale","Kit per congresso internazionale",1,"190000",,FALSO,FALSO,"SMR","N016",,
"PP040","Italy","Prodotti promozionali","VIVISOL","Kit per congresso nazionale","Kit per congresso nazionale",1,"190000",,FALSO,FALSO,"SMR","N016",,
"PP041","Italy","Prodotti promozionali","VIVISOL","Kit per congresso regionale","Kit per congresso regionale",1,"60000",,FALSO,FALSO,"SMR","N016",,
"PP042","Italy","Prodotti promozionali","VIVISOL","Card VIVISOL personalizzate","Card VIVISOL personalizzate",1,"26000","Card-VIVISOL-personalizzate.jpg",FALSO,FALSO,"SMR","N016",,
"PP043","Italy","Prodotti promozionali","VIVISOL","Borse economiche in juta","Borse economiche in juta",1,"80",,FALSO,FALSO,"SMR","N016",,
"PP044","Italy","Prodotti promozionali","VIVISOL","Borse congressuali shopper stilizzate 40x33 cm","Borse congressuali shopper stilizzate 40x33 cm",1,"260","Borse-congressuali-shopper-stilizzate.jpg",FALSO,FALSO,"SMR","N016",,
"PP045","Italy","Prodotti promozionali","VIVISOL","VIVISOL Folders (for foreign branches only)","VIVISOL Folders (for foreign branches only)",1,"90","VIVISOL-folder.jpg",FALSO,FALSO,"SMR","N016",,
"PP046","Italy","Prodotti promozionali","VIVISOL","Cartelletta per aerosolterapia","Cartelletta per aerosolterapia",1,"0","Cartelletta-per-aerosolterapia.jpg",FALSO,FALSO,"SMR","N016",,
"PP047","Italy","Prodotti promozionali","VIVISOL","Monografia VIVISOL Italia","Monografia VIVISOL Italia",1,"0","Monografia-VIVISOL-Italia.jpg",FALSO,FALSO,"SMR","N016",,
"PP048","Italy","Prodotti promozionali","VIVISOL","Leva fustella con manico in legno e logo VIVISOL (solo per servizio farmacia)","Leva fustella con manico in legno e logo VIVISOL (solo per servizio farmacia)",1,"450","Leva-fustella-con-manico-in-legno-e-logo-VIVISOL.jpg",FALSO,FALSO,"SMR","N016",,
