"ID","Country","Vessel","Cylinder Colour IMAGE","Cylinder Body ID","Vessel Material","Capacity","Diameter","Pressure","Markets","GAS","Body Color","Shoulder color","Cap Type","Cap ID","Cap Material","PaintingType","Valve Type","Valve ID","Valve Material","Thread gas outelet","Norm","Outlet Gas","Deep tube","Deep tube ID","Deep Tube Material","Stamping","Description Certificate","Description","Solvent","Price"
"Cyl0011","ITALY","Cylinder","ITA-O2-IND-T.jpg","CB1","Steel",1,111,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","Tulip","CAP3","Steel","Galvanized","Residual (25E)","VA4","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"53"
"Cyl0012","ITALY","Cylinder","ITA-O2-IND-T.jpg","CB1","Steel",1,111,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","Tulip","CAP3","Steel","Galvanized","Residual mignon (17E)","VA5","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"53"
"Cyl0013","ITALY","Cylinder","ITA-O2-IND-D.jpg","CB1","Steel",1,111,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","DIN closed","CAP2","Steel","Galvanized","Standard (25E)","VA2","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"47.5"
"Cyl0014","ITALY","Cylinder","ITA-O2-IND-D.jpg","CB1","Steel",1,111,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","DIN closed","CAP2","Steel","Galvanized","Standard mignon (17E)","VA3","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"47.5"
"Cyl0015","ITALY","Cylinder","ITA-O2-IND-D.jpg","CB1","Steel",1,111,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","DIN closed","CAP2","Steel","Galvanized","Residual (25E)","VA4","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"51"
"Cyl0016","ITALY","Cylinder","ITA-O2-IND-D.jpg","CB1","Steel",1,111,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","DIN closed","CAP2","Steel","Galvanized","Residual mignon (17E)","VA5","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"51"
"Cyl0017","ITALY","Cylinder","ITA-O2-IND-T.jpg","CB1","Steel",2,102,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","Tulip","CAP3","Steel","Galvanized","Standard (25E)","VA2","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"53.5"
"Cyl0018","ITALY","Cylinder","ITA-O2-IND-T.jpg","CB1","Steel",2,102,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","Tulip","CAP3","Steel","Galvanized","Standard mignon (17E)","VA3","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"53.5"
"Cyl0019","ITALY","Cylinder","ITA-O2-IND-T.jpg","CB1","Steel",2,102,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","Tulip","CAP3","Steel","Galvanized","Residual (25E)","VA4","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"57"
"Cyl0020","ITALY","Cylinder","ITA-O2-IND-T.jpg","CB1","Steel",2,102,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","Tulip","CAP3","Steel","Galvanized","Residual mignon (17E)","VA5","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"57"
"Cyl0021","ITALY","Cylinder","ITA-O2-IND-D.jpg","CB1","Steel",2,102,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","DIN closed","CAP2","Steel","Galvanized","Standard (25E)","VA2","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"51.5"
"Cyl0022","ITALY","Cylinder","ITA-O2-IND-D.jpg","CB1","Steel",2,102,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","DIN closed","CAP2","Steel","Galvanized","Standard mignon (17E)","VA3","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"51.5"
"Cyl0023","ITALY","Cylinder","ITA-O2-IND-D.jpg","CB1","Steel",2,102,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","DIN closed","CAP2","Steel","Galvanized","Residual (25E)","VA4","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"55"
"Cyl0024","ITALY","Cylinder","ITA-O2-IND-D.jpg","CB1","Steel",2,102,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","DIN closed","CAP2","Steel","Galvanized","Residual mignon (17E)","VA5","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"55"
"Cyl0025","ITALY","Cylinder","ITA-O2-IND-T.jpg","CB1","Steel",2,118,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","Tulip","CAP3","Steel","Galvanized","Standard (25E)","VA2","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"53.5"
"Cyl0026","ITALY","Cylinder","ITA-O2-IND-T.jpg","CB1","Steel",2,118,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","Tulip","CAP3","Steel","Galvanized","Standard mignon (17E)","VA3","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"53.5"
"Cyl0027","ITALY","Cylinder","ITA-O2-IND-T.jpg","CB1","Steel",2,118,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","Tulip","CAP3","Steel","Galvanized","Residual (25E)","VA4","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"57"
"Cyl0028","ITALY","Cylinder","ITA-O2-IND-T.jpg","CB1","Steel",2,118,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","Tulip","CAP3","Steel","Galvanized","Residual mignon (17E)","VA5","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"57"
"Cyl0029","ITALY","Cylinder","ITA-O2-IND-D.jpg","CB1","Steel",2,118,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","DIN closed","CAP2","Steel","Galvanized","Standard (25E)","VA2","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"51.5"
"Cyl0030","ITALY","Cylinder","ITA-O2-IND-D.jpg","CB1","Steel",2,118,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","DIN closed","CAP2","Steel","Galvanized","Standard mignon (17E)","VA3","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"51.5"
"Cyl0031","ITALY","Cylinder","ITA-O2-IND-D.jpg","CB1","Steel",2,118,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","DIN closed","CAP2","Steel","Galvanized","Residual (25E)","VA4","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"55"
"Cyl0032","ITALY","Cylinder","ITA-O2-IND-D.jpg","CB1","Steel",2,118,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","DIN closed","CAP2","Steel","Galvanized","Residual mignon (17E)","VA5","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"55"
"Cyl0033","ITALY","Cylinder","ITA-O2-IND-T.jpg","CB1","Steel",3,111,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","Tulip","CAP3","Steel","Galvanized","Standard (25E)","VA2","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"58.5"
"Cyl0034","ITALY","Cylinder","ITA-O2-IND-T.jpg","CB1","Steel",3,111,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","Tulip","CAP3","Steel","Galvanized","Standard mignon (17E)","VA3","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"58.5"
"Cyl0035","ITALY","Cylinder","ITA-O2-IND-T.jpg","CB1","Steel",3,111,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","Tulip","CAP3","Steel","Galvanized","Residual (25E)","VA4","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"62"
"Cyl0036","ITALY","Cylinder","ITA-O2-IND-T.jpg","CB1","Steel",3,111,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","Tulip","CAP3","Steel","Galvanized","Residual mignon (17E)","VA5","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"62"
"Cyl0037","ITALY","Cylinder","ITA-O2-IND-D.jpg","CB1","Steel",3,111,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","DIN closed","CAP2","Steel","Galvanized","Standard (25E)","VA2","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"56.5"
"Cyl0038","ITALY","Cylinder","ITA-O2-IND-D.jpg","CB1","Steel",3,111,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","DIN closed","CAP2","Steel","Galvanized","Standard mignon (17E)","VA3","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"56.5"
"Cyl0039","ITALY","Cylinder","ITA-O2-IND-D.jpg","CB1","Steel",3,111,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","DIN closed","CAP2","Steel","Galvanized","Residual (25E)","VA4","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"60"
"Cyl0040","ITALY","Cylinder","ITA-O2-IND-D.jpg","CB1","Steel",3,111,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","DIN closed","CAP2","Steel","Galvanized","Residual mignon (17E)","VA5","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"60"
"Cyl0041","ITALY","Cylinder","ITA-O2-IND-T.jpg","CB1","Steel",5,140,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","Tulip","CAP3","Steel","Galvanized","Standard (25E)","VA2","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"72.5"
"Cyl0042","ITALY","Cylinder","ITA-O2-IND-T.jpg","CB1","Steel",5,140,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","Tulip","CAP3","Steel","Galvanized","Standard mignon (17E)","VA3","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"72.5"
"Cyl0043","ITALY","Cylinder","ITA-O2-IND-T.jpg","CB1","Steel",5,140,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","Tulip","CAP3","Steel","Galvanized","Residual (25E)","VA4","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"76"
"Cyl0044","ITALY","Cylinder","ITA-O2-IND-T.jpg","CB1","Steel",5,140,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","Tulip","CAP3","Steel","Galvanized","Residual mignon (17E)","VA5","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"76"
"Cyl0045","ITALY","Cylinder","ITA-O2-IND-D.jpg","CB1","Steel",5,140,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","DIN closed","CAP2","Steel","Galvanized","Standard (25E)","VA2","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"70.5"
"Cyl0046","ITALY","Cylinder","ITA-O2-IND-D.jpg","CB1","Steel",5,140,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","DIN closed","CAP2","Steel","Galvanized","Standard mignon (17E)","VA3","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"70.5"
"Cyl0047","ITALY","Cylinder","ITA-O2-IND-D.jpg","CB1","Steel",5,140,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","DIN closed","CAP2","Steel","Galvanized","Residual (25E)","VA4","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"74"
"Cyl0048","ITALY","Cylinder","ITA-O2-IND-D.jpg","CB1","Steel",5,140,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","DIN closed","CAP2","Steel","Galvanized","Residual mignon (17E)","VA5","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"74"
"Cyl0049","ITALY","Cylinder","ITA-O2-IND-T.jpg","CB1","Steel",5,152,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","Tulip","CAP3","Steel","Galvanized","Standard (25E)","VA2","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"72.5"
"Cyl0050","ITALY","Cylinder","ITA-O2-IND-T.jpg","CB1","Steel",5,152,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","Tulip","CAP3","Steel","Galvanized","Standard mignon (17E)","VA3","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"72.5"
"Cyl0051","ITALY","Cylinder","ITA-O2-IND-T.jpg","CB1","Steel",5,152,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","Tulip","CAP3","Steel","Galvanized","Residual (25E)","VA4","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"76"
"Cyl0052","ITALY","Cylinder","ITA-O2-IND-T.jpg","CB1","Steel",5,152,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","Tulip","CAP3","Steel","Galvanized","Residual mignon (17E)","VA5","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"76"
"Cyl0053","ITALY","Cylinder","ITA-O2-IND-D.jpg","CB1","Steel",5,152,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","DIN closed","CAP2","Steel","Galvanized","Standard (25E)","VA2","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"70.5"
"Cyl0054","ITALY","Cylinder","ITA-O2-IND-D.jpg","CB1","Steel",5,152,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","DIN closed","CAP2","Steel","Galvanized","Standard mignon (17E)","VA3","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"70.5"
"Cyl0055","ITALY","Cylinder","ITA-O2-IND-D.jpg","CB1","Steel",5,152,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","DIN closed","CAP2","Steel","Galvanized","Residual (25E)","VA4","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"74"
"Cyl0056","ITALY","Cylinder","ITA-O2-IND-D.jpg","CB1","Steel",5,152,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","DIN closed","CAP2","Steel","Galvanized","Residual mignon (17E)","VA5","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"74"
"Cyl0057","ITALY","Cylinder","ITA-O2-IND-T.jpg","CB1","Steel",7,140,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","Tulip","CAP3","Steel","Galvanized","Standard (25E)","VA2","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"79.5"
"Cyl0058","ITALY","Cylinder","ITA-O2-IND-T.jpg","CB1","Steel",7,140,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","Tulip","CAP3","Steel","Galvanized","Residual (25E)","VA4","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"83"
"Cyl0059","ITALY","Cylinder","ITA-O2-IND-D.jpg","CB1","Steel",7,140,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","DIN closed","CAP2","Steel","Galvanized","Standard (25E)","VA2","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"77.5"
"Cyl0060","ITALY","Cylinder","ITA-O2-IND-D.jpg","CB1","Steel",7,140,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","DIN closed","CAP2","Steel","Galvanized","Residual (25E)","VA4","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"81"
"Cyl0061","ITALY","Cylinder","ITA-O2-IND-T.jpg","CB1","Steel",7,152,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","Tulip","CAP3","Steel","Galvanized","Standard (25E)","VA2","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"79.5"
"Cyl0062","ITALY","Cylinder","ITA-O2-IND-T.jpg","CB1","Steel",7,152,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","Tulip","CAP3","Steel","Galvanized","Residual (25E)","VA4","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"83"
"Cyl0063","ITALY","Cylinder","ITA-O2-IND-D.jpg","CB1","Steel",7,152,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","DIN closed","CAP2","Steel","Galvanized","Standard (25E)","VA2","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"77.5"
"Cyl0064","ITALY","Cylinder","ITA-O2-IND-D.jpg","CB1","Steel",7,152,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","DIN closed","CAP2","Steel","Galvanized","Residual (25E)","VA4","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"81"
"Cyl0065","ITALY","Cylinder","ITA-O2-IND-T.jpg","CB1","Steel",10,140,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","Tulip","CAP3","Steel","Galvanized","Standard (25E)","VA2","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"95.5"
"Cyl0066","ITALY","Cylinder","ITA-O2-IND-T.jpg","CB1","Steel",10,140,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","Tulip","CAP3","Steel","Galvanized","Residual (25E)","VA4","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"100"
"Cyl0067","ITALY","Cylinder","ITA-O2-IND-D.jpg","CB1","Steel",10,140,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","DIN closed","CAP2","Steel","Galvanized","Standard (25E)","VA2","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"94.5"
"Cyl0068","ITALY","Cylinder","ITA-O2-IND-D.jpg","CB1","Steel",10,140,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","DIN closed","CAP2","Steel","Galvanized","Residual (25E)","VA4","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"98"
"Cyl0069","ITALY","Cylinder","ITA-O2-IND-T.jpg","CB1","Steel",10,176,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","Tulip","CAP3","Steel","Galvanized","Standard (25E)","VA2","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"96.5"
"Cyl0070","ITALY","Cylinder","ITA-O2-IND-T.jpg","CB1","Steel",10,176,200,"Industrial","Oxygen (O2)","Gray RAL 7015","White RAL 9010","Tulip","CAP3","Steel","Galvanized","Residual (25E)","VA4","Brass","W 21,7 x 1/14""","UNI 4406","Standard (derived from the gas, intended use, country)","NO","DT2",,"1° A - 1° O","1° A - 1° O",,,"100"
