"Object","ID","Country","Categoria","Tipologia","Gruppo","Gas","Prodotto","Applicazione","Confezione","Photo","Prezzo"
27912,"ADR0067","Italy","Etichette ADR","Monogas","Altre","MKT","Gas puro","Bombola",100,"ADR_gas-puro_small.jpg||ADR_gas-puro_large.jpg||ADR_Bombola_gas-puro-photo_large.jpg","8.00"
27913,"ADR0068","Italy","Etichette ADR","Monogas","Altre","MKT","Gas purissimo","Bombola",100,"ADR_gas-purissimo_small.jpg||ADR_gas-purissimo_large.jpg||ADR_Bombola_gas-puro-photo_large.jpg","8.00"
27914,"ADR0069","Italy","Etichette ADR","Monogas","Altre","MKT","Gas ultra puro","Bombola",100,"ADR_gas-ultra-puro_small.jpg||ADR_gas-ultra-puro_large.jpg||ADR_Bombola_gas-puro-photo_large.jpg","8.00"
27915,"ADR0070","Italy","Etichette ADR","Monogas","Altre","MKT","Grado elettronica","Bombola",100,"ADR_grado-elettronica_small.jpg||ADR_grado-elettronica_large.jpg||ADR_Bombola_gas-puro-photo_large.jpg","8.00"
27916,"ADR0071","Italy","Etichette ADR","Monogas","Altre","MKT","Grado megabit","Bombola",100,"ADR_grado-megabit_small.jpg||ADR_grado-megabit_large.jpg||ADR_Bombola_gas-puro-photo_large.jpg","8.00"
27917,"ADR0072","Italy","Etichette ADR","Monogas","Altre","MKT","Grado ricerche","Bombola",100,"ADR_grado-ricerche_small.jpg||ADR_grado-ricerche_large.jpg||ADR_Bombola_gas-puro-photo_large.jpg","8.00"
27918,"ADR0073","Italy","Etichette ADR","Monogas","Altre","MKT","Grado ricerche extra","Bombola",100,"ADR_grado-ricerche-extra_small.jpg||ADR_grado-ricerche-extra_large.jpg||ADR_Bombola_gas-puro-photo_large.jpg","8.00"
27919,"ADR0074","Italy","Etichette ADR","Monogas","Altre","MKT","Compliant HACCP","Bombola",100,"ADR_compliant-HACCP_small.jpg||ADR_compliant-HACCP_large.jpg||ADR_Bombola_gas-puro-photo_large.jpg","8.00"
27920,"ADR0075","Italy","Etichette ADR","Monogas","Altre","MKT","HE300","Bombola",100,"ADR_HE300_small.jpg||ADR_HE300_large.jpg||ADR_Bombola_gas-puro-photo_large.jpg","8.00"
27921,"ADR0076","Italy","Etichette ADR","Monogas","Altre","MKT","Industriale puro","Bombola",100,"ADR_industriale-puro_small.jpg||ADR_industriale-puro_large.jpg||ADR_Bombola_gas-puro-photo_large.jpg","8.00"
27922,"ADR0077","Italy","Etichette ADR","Monogas","Altre","MKT","Applicazioni laser","Bombola",100,"ADR_Applicazioni-laser_small.jpg||ADR_Applicazioni-laser_large.jpg||ADR_Bombola_gas-puro-photo_large.jpg","8.00"
27923,"ADR0078","Italy","Etichette ADR","Monogas","Altre","MKT","laser","Bombola",100,"ADR_Laser_small.jpg||ADR_Laser_small.jpg||ADR_Bombola_gas-puro-photo_large.jpg","8.00"
27924,"ADR0079","Italy","Etichette ADR","Monogas","Monogas","Diossido carbonio","Diossido di carbonio (anidride carbonica)","Bundle",25,"ADR_Bundle_Diossido-di-carbonio_small.jpg||ADR_Bundle_Diossido-di-carbonio_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg","7.50"
27925,"ADR0080","Italy","Etichette ADR","Monogas","Monogas","Diossido carbonio","Diossido di carbonio E290 (anidride carbonica)","Bundle",25,"ADR_Bundle_Diossido-di-carbonio-E290_small.jpg||ADR_Bundle_Diossido-di-carbonio-E290_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg","7.50"
