"ACC026","Italy","Comunicazione","Lavagne, pannelli","Blocco di ricambio per lavagne","Blocco di ricambio per lavagne",5,"18.48",,FALSO,FALSO,"SMR","N010",,
"ACC027","Italy","Comunicazione","Lavagne, pannelli","Lavagna magnetica 45x60","Lavagna magnetica 45x60",1,"18.90",,FALSO,FALSO,"SMR","N010",,
"ACC028","Italy","Comunicazione","Lavagne, pannelli","Lavagna magnetica 60x90","Lavagna magnetica 60x90",1,"25.52",,FALSO,FALSO,"SMR","N010",,
"ACC029","Italy","Comunicazione","Lavagne, pannelli","Lavagna magnetica 90x120","Lavagna magnetica 90x120",1,"46.26",,FALSO,FALSO,"SMR","N010",,
"ACC030","Italy","Comunicazione","Lavagne, pannelli","Magnetini blu 40mm","Magnetini blu 40mm",12,"2.64",,FALSO,FALSO,"SMR","N010",,
"ACC031","Italy","Comunicazione","Lavagne, pannelli","Magnetini rossi 40mm","Magnetini rossi 40mm",12,"2.64",,FALSO,FALSO,"SMR","N010",,
"ACC032","Italy","Comunicazione","Lavagne, pannelli","Basic kit per lavagne magnetiche","Basic kit per lavagne magnetiche",1,"18.00",,FALSO,FALSO,"SMR","N010",,
"ACC033","Italy","Comunicazione","Lavagne, pannelli","Gesso bianco rotondo","Gesso bianco rotondo",100,"4.62",,FALSO,FALSO,"SMR","N010",,
"ACC034","Italy","Comunicazione","Lavagne, pannelli","Cancellino magnetico","Cancellino magnetico",1,"1.96",,FALSO,FALSO,"SMR","N010",,
"ACC035","Italy","Comunicazione","Lavagne, pannelli","Spray per la pulizia di lavagne bianche","Spray per la pulizia di lavagne bianche",1,"2.82",,FALSO,FALSO,"SMR","N010",,
"ACC036","Italy","Comunicazione","Lavagne, pannelli","Salviette per lavagne bianche","Salviette per lavagne bianche",100,"1.86",,FALSO,FALSO,"SMR","N010",,
"ACC037","Italy","Comunicazione","Lucidi","Lucidi per stampanti 3M CG3460","Lucidi per stampanti 3M CG3460",50,"42.70",,FALSO,FALSO,"SMR","N010",,
"ACC038","Italy","Comunicazione","Lucidi","Lucidi per fotocopie 3M PP2500","Lucidi per fotocopie",100,"24.94",,FALSO,FALSO,"SMR","N010",,
"ACC039","Italy","Comunicazione","Lucidi","Lucidi per stampanti laser CG3300","Lucidi per stampanti laser CG3300",50,"14.86",,FALSO,FALSO,"SMR","N010",,
"ACC040","Italy","Comunicazione","Portabadge","Portabadge da portafogli","Portabadge da portafogli",1,"0.36",,FALSO,FALSO,"SMR","N013",,
"ACC041","Italy","Comunicazione","Portabadge","Portabadge con attacco per nastro","Portabadge con attacco per nastro",100,"52.91",,FALSO,FALSO,"SMR","N013",,
"ACC042","Italy","Etichettatrici, ricambi","Etichettatrici Dymo","Etichettatrice portatile Dymo LP150","Etichettatrice portatile Dymo LP150",1,"36.28",,FALSO,FALSO,"SMR","N010",,
"ACC043","Italy","Etichettatrici, ricambi","Etichettatrici Dymo","Etichettatrice Dymo LM220","Etichettatrice Dymo LM220",1,"41.00",,FALSO,FALSO,"SMR","N010",,
"ACC044","Italy","Etichettatrici, ricambi","Etichette adesive","Foglio di etichette autoadesive 210X297 mm","Foglio di etichette autoadesive 210X297 mm",100,"6.90",,FALSO,FALSO,"SMR","N010",,
"ACC045","Italy","Etichettatrici, ricambi","Etichette adesive","Foglio di etichette laser-ink jet A4 105X72","Foglio di etichette laser-ink jet A4 105X72",100,"7.07",,FALSO,FALSO,"SMR","N010",,
"ACC046","Italy","Etichettatrici, ricambi","Etichette adesive","Portaetichette trasparente 65x140","Portaetichette trasparente 65x140",10,"2.72",,FALSO,FALSO,"SMR","N010",,
"ACC047","Italy","Etichettatrici, ricambi","Etichette adesive","Etichette adesive 105x48","Etichette adesive 105x48",1200,"4.41",,FALSO,FALSO,"SMR","N012",,
"ACC048","Italy","Etichettatrici, ricambi","Etichette adesive","Foglio di etichette laser 70X36","Foglio di etichette laser 70X36",100,"7.07",,FALSO,FALSO,"SMR","N010",,
"ACC049","Italy","Etichettatrici, ricambi","Etichette adesive","Foglio di etichette laser 210X48","Foglio di etichette laser 210X48",100,"7.07",,FALSO,FALSO,"SMR","N010",,
"ACC050","Italy","Etichettatrici, ricambi","Etichette Avery","Etichetta Poliest. L4775","Etichetta Poliest. L4775",20,"27.31",,FALSO,FALSO,"SMR","N012",,
"ACC051","Italy","Etichettatrici, ricambi","Etichette Avery","Etichetta Poliest. L4773","Etichetta Poliest. L4773",20,"27.31",,FALSO,FALSO,"SMR","N012",,
"ACC052","Italy","Etichettatrici, ricambi","Etichette Avery","Etichetta Poliest. L7068","Etichetta Poliest. L7068",25,"27.31",,FALSO,FALSO,"SMR","N012",,
"ACC053","Italy","Etichettatrici, ricambi","Ricambi Dymo","Nastro Dymo 12mmx7mt nero su bianco","Nastro Dymo 12mmx7mt nero su bianco",1,"9.36",,FALSO,FALSO,"SMR","N010",,
"ACC054","Italy","Etichettatrici, ricambi","Ricambi Dymo","Nastro Dymo 12mmx7mt nero su trasparente","Nastro Dymo 12mmx7mt nero su trasparente",1,"10.90",,FALSO,FALSO,"SMR","N010",,
"ACC055","Italy","Etichettatrici, ricambi","Ricambi Dymo","Nastro Dymo 12mmx7mt nero su giallo","Nastro Dymo 12mmx7mt nero su giallo",1,"10.90",,FALSO,FALSO,"SMR","N010",,
"ACC056","Italy","Etichettatrici, ricambi","Ricambi Dymo","Nastro Dymo 12mmx7mt nero su blu","Nastro Dymo 12mmx7mt nero su blu",1,"10.90",,FALSO,FALSO,"SMR","N010",,
"ACC057","Italy","Etichettatrici, ricambi","Ricambi Dymo","Nastro Dymo Letratag bianco 12x4 mt","Nastro Dymo Letratag bianco 12x4 mt",1,"4.83",,FALSO,FALSO,"SMR","N010",,
"ACC058","Italy","Etichettatrici, ricambi","Ricambi Dymo","Nastro Dymo Letratag giallo 12x4mt","Nastro Dymo Letratag giallo 12x4mt",1,"6.06",,FALSO,FALSO,"SMR","N010",,
"ACC059","Italy","Etichettatrici, ricambi","Ricambi Dymo","Nastro Dymo Letratag rosso 12x4mt","Nastro Dymo Letratag rosso 12x4mt",1,"4.77",,FALSO,FALSO,"SMR","N010",,
"ACC060","Italy","Etichettatrici, ricambi","Ricambi Dymo","Nastro Dymo Letratag verde 12x4mt","Nastro Dymo Letratag verde 12x4mt",1,"4.83",,FALSO,FALSO,"SMR","N010",,
"ACC061","Italy","Etichettatrici, ricambi","Ricambi Dymo","Nastro Dymo Letratag blu 12x4mt","Nastro Dymo Letratag blu 12x4mt",1,"4.77",,FALSO,FALSO,"SMR","N010",,
"ACC064","Italy","Etichettatrici, ricambi","Ricambi Dymo","Nastro Dymo 12mmx7mt nero su rosso","Nastro Dymo 12mmx7mt nero su rosso",1,"10.90",,FALSO,FALSO,"SMR","N010",,
"ACC065","Italy","Etichettatrici, ricambi","Ricambi Dymo","Nastro Dymo 12mmx7mt nero su verde","Nastro Dymo 12mmx7mt nero su verde",1,"10.90",,FALSO,FALSO,"SMR","N010",,
"ACC066","Italy","Etichettatrici, ricambi","Ricambi Dymo","Alimentatore universale Dymo","Alimentatore universale Dymo",1,"25.60",,FALSO,FALSO,"SMR","N010",,
"ACC067","Italy","Etichettatrici, ricambi","Ricambi Dymo","Nastro Dymo D1 9X7 nero su bianco","Nastro Dymo D1 9X7 nero su bianco",1,"9.74",,FALSO,FALSO,"SMR","N010",,
"ACC070","Italy","Imballaggio, sigilli","Imballaggio","Cutter lama grande","Cutter lama grande",1,"0.52",,FALSO,FALSO,"SMR","N010",,
"ACC071","Italy","Imballaggio, sigilli","Imballaggio","Extendable film","Film estensibile",6,"27.12",,FALSO,FALSO,"SMR","N014",,
"ACC072","Italy","Imballaggio, sigilli","Imballaggio","Buste sovrapacco 11x17","Buste sovrapacco 11x17",100,"9.62",,FALSO,FALSO,"SMR","N010",,
"ACC073","Italy","Imballaggio, sigilli","Imballaggio","Busta minigrip con cerniera 15x22","Busta minigrip con cerniera 15x22",100,"3.13",,FALSO,FALSO,"SMR","N010",,
"ACC074","Italy","Imballaggio, sigilli","Imballaggio","Busta minigrip con cerniera 25x35","Busta minigrip con cerniera 25x35",100,"6.29",,FALSO,FALSO,"SMR","N010",,
"ACC075","Italy","Imballaggio, sigilli","Imballaggio","Busta sovrapacco 21x16","Busta sovrapacco 21x16",100,"11.03",,FALSO,FALSO,"SMR","N010",,
"ACC076","Italy","Imballaggio, sigilli","Imballaggio","Lame di ricambio per cutter","Lame di ricambio per cutter",10,"1.67",,FALSO,FALSO,"SMR","N010",,
"ACC077","Italy","Imballaggio, sigilli","Imballaggio","Elastici 60 mm (1 kg)","Elastici 60 mm (1 kg)",1,"3.88",,FALSO,FALSO,"SMR","N010",,
"ACC078","Italy","Imballaggio, sigilli","Imballaggio","Elastici 150 mm (1 kg)","Elastici 150 mm (1 kg)",1,"4.08",,FALSO,FALSO,"SMR","N010",,
"ACC079","Italy","Imballaggio, sigilli","Imballaggio","Nastro biadesivo 19x50","Nastro biadesivo 19x50",1,"2.28",,FALSO,FALSO,"SMR","N010",,
"ACC080","Italy","Imballaggio, sigilli","Imballaggio","Nastratore con frizione","Nastratore con frizione",1,"9.58",,FALSO,FALSO,"SMR","N010",,
"ACC081","Italy","Imballaggio, sigilli","Imballaggio","Fascetta Nylon 200 x 2,5mm","Fascetta Nylon 200 x 2,5mm",1000,"7.80",,FALSO,FALSO,"SMR","N014",,
"ACC082","Italy","Imballaggio, sigilli","Nastro adesivo","Rotolo di nastro adesivo SOL","Rotolo di nastro adesivo SOL",36,"33.70",,FALSO,FALSO,"SMR","N014",,
"ACC083","Italy","Imballaggio, sigilli","Nastro adesivo","Rotolo di nastro adesivo VIVISOL","Rotolo di nastro adesivo VIVISOL",36,"33.70",,FALSO,FALSO,"SMR","N014",,
"ACC084","Italy","Imballaggio, sigilli","Sigilli di garanzia","Sigillo di garanzia per unità base ossigeno liquido MVE p/n TP003","Tappini DEWAR O2 liquido",5000,"100.00",,FALSO,FALSO,"SMR","N011",,
"ACC085","Italy","Imballaggio, sigilli","Sigilli di garanzia","Sigillo di garanzia per unità base ossigeno liquido Penox p/n TP002","Tappini U.B. PENOX",2500,"50.00",,FALSO,FALSO,"SMR","N011",,
"ACC086","Italy","Imballaggio, sigilli","Sigilli di garanzia","Sigillo di garanzia bianco a portagomma 9/16 Dx per gruppo valvola riduttrice (confezione da 1'000 pezzi)","Tappini bianchi per portag. 9/16 Dx",,"0.02",,FALSO,FALSO,"SMR","N011",,
"ACC087","Italy","Imballaggio, sigilli","Termoretraibili","Termoretraibile 55x120","Termoretraibile mm 55x120",1,"0.02",,FALSO,FALSO,"SMR","N011",,
"ACC090","Italy","Imballaggio, sigilli","Termoretraibili","Termoretraibile 245x300 (lotto da 2'500 pezzi)","Termoretraibile mm 245x300",,"225.00",,FALSO,FALSO,"SMR","N011",,
"ACC091","Italy","Imballaggio, sigilli","Termoretraibili","Termoretraibile mm 130x130","Termoretraibile mm 130x130",6000,"180.00",,FALSO,FALSO,"SMR","N011",,
"ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo",,"Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
