"Object","Object","ID","Country","Categoria","Settore","DescrEn","Prodotto","Confezione","Prezzo","Photo","Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
28410,11462,"AU0032","Italy","Accessori ufficio","Colla","Colla stick Pritt 20 g","Colla stick Pritt 20 g",1,"0.78","Colla-Stick-Pritt-40.jpg",VERO,FALSO,"SMR","N010",,
28411,11463,"AU0033","Italy","Accessori ufficio","Colla","Colla a nastro mini roller","Colla a nastro mini roller",1,"2.48","Colla-a-nastro-mini-roller.jpg",VERO,FALSO,"SMR","N010",,
28412,11464,"AU0034","Italy","Accessori ufficio","Colla","Super attack","Super attack",1,"3.69","Super-attak.jpg",VERO,FALSO,"SMR","N010",,
28413,11465,"AU0035","Italy","Accessori ufficio","Colla","Colla a nastro roller ricaricabile perm.","Colla a nastro roller ricaricabile perm.",1,"4.24","Colla-a-nastro-roller-ricaricabile-perm.jpg",VERO,FALSO,"SMR","N010",,
28414,11466,"AU0036","Italy","Accessori ufficio","Colla","Ricarica per colla nastro perm.","Ricarica per colla nastro perm.",1,"3.03","Ricarica-per-colla-nastro-perm..jpg",VERO,FALSO,"SMR","N010",,
28415,11467,"AU0037","Italy","Accessori ufficio","Fermagli","Scatola da 100 fermagli zincati N.2","Scatola da 100 fermagli zincati N.2",10,"1.48","Scatola-da-100-fermagli-zincati.jpg",VERO,FALSO,"SMR","N010",,
28416,11468,"AU0038","Italy","Accessori ufficio","Fermagli","Scatola da 100 fermagli zincati N.3","Scatola da 100 fermagli zincati N.3",10,"1.69","Scatola-da-100-fermagli-zincati.jpg",VERO,FALSO,"SMR","N010",,
28417,11469,"AU0039","Italy","Accessori ufficio","Fermagli","Scatola da 100 fermagli zincati N.4","Scatola da 100 fermagli zincati N.4",10,"1.68","Scatola-da-100-fermagli-zincati.jpg",VERO,FALSO,"SMR","N010",,
28418,11470,"AU0040","Italy","Accessori ufficio","Fermagli","Scatola da 100 fermagli zincati N.6","Scatola da 100 fermagli zincati N.6",10,"5.09","Scatola-da-100-fermagli-zincati.jpg",VERO,FALSO,"SMR","N010",,
28419,11471,"AU0041","Italy","Accessori ufficio","Fermagli","Scatola da 100 fermagli zincati N.5","Scatola da 100 fermagli zincati N.5",10,"3.85","Scatola-da-100-fermagli-zincati.jpg",VERO,FALSO,"SMR","N010",,
28420,11472,"AU0042","Italy","Accessori ufficio","Fermagli","Molle fermafogli 1,9 mm","Molle fermafogli 1,9 mm (conf.12)",12,"0.44","Molle-fermafogli_1.jpg",VERO,FALSO,"SMR","N010",,
28421,11473,"AU0043","Italy","Accessori ufficio","Fermagli","Molle fermafogli 2,5 mm","Molle fermafogli 2,5 mm (conf.12)",12,"0.45","Molle-fermafogli_1.jpg",VERO,FALSO,"SMR","N010",,
28422,11474,"AU0044","Italy","Accessori ufficio","Fermagli","Molle fermafogli 3,2 mm","Molle fermafogli 3,2 mm (conf.12)",12,"0.56","Molle-fermafogli_1.jpg",VERO,FALSO,"SMR","N010",,
28423,11475,"AU0045","Italy","Accessori ufficio","Fermagli","Molle fermafogli 4,1 mm","Molle fermafogli 4,1 mm (conf.12)",12,"0.97","Molle-fermafogli_1.jpg",VERO,FALSO,"SMR","N010",,
28424,11476,"AU0046","Italy","Accessori ufficio","Fermagli","Molle fermafogli 5,1 mm","Molle fermafogli 5,1 mm (conf.12)",12,"1.67","Molle-fermafogli_1.jpg",VERO,FALSO,"SMR","N010",,
28425,11477,"AU0047","Italy","Accessori ufficio","Nastro adesivo, acc.","Scotch Magic 810 permanente 19x33mt.","Scotch Magic 810 permanente 19x33mt.",1,"1.37","Scotch-Magic-810-permanente-19x33mt.jpg",VERO,FALSO,"SMR","N010",,
