"Object","Object","ID","Country","Categoria","Settore","DescrEn","Prodotto","Confezione","Prezzo",,"Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
14642,0,"AU0127","Italy","Archivio, organizzazione","Raccoglitori","Cartelle ad anelli","Cartelle ad anelli",,,,FALSO,FALSO,"SMR","N010",,
14644,0,"AU0128","Italy","Archivio, organizzazione","Raccoglitori","Copridorso","Copridorso",,,,FALSO,FALSO,"SMR","N010",,
14646,0,"AU0129","Italy","Archivio, organizzazione","Raccoglitori","Raccoglitori Esselte","Raccoglitori Esselte",,,,FALSO,FALSO,"SMR","N010",,
14647,0,"AU0130","Italy","Archivio, organizzazione","Raccoglitori","Raccoglitori Vic","Raccoglitori Vic",,,,FALSO,FALSO,"SMR","N010",,
14648,11552,"AU0131","Italy","Archivio, organizzazione","Raccoglitori","Registratore dox 4 comm. rosso D.5 cf 12","Registratore dox 4 comm. Rosso D.5 cf 12",1,"41.40",,FALSO,VERO,"SMR","N010",,
14649,11553,"AU0132","Italy","Archivio, organizzazione","Raccoglitori","Registratore dox 4 comm. blu D.5 cf 12","Registratore dox 4 comm. blu D.5 cf 12",1,"41.40",,FALSO,VERO,"SMR","N010",,
14650,11554,"AU0133","Italy","Archivio, organizzazione","Raccoglitori","Registratore dox 4 comm. giallo D.5 cf 12","Registratore dox 4 comm. giallo D.5 cf 12",1,"41.40",,FALSO,VERO,"SMR","N010",,
14651,11555,"AU0134","Italy","Archivio, organizzazione","Raccoglitori","Registratore dox 4 comm. verde D.5 cf 12","Registratore dox 4 comm. verde D.5 cf 12",1,"41.40",,FALSO,VERO,"SMR","N010",,
14652,11556,"AU0135","Italy","Archivio, organizzazione","Raccoglitori","Registratore dox 5 prot. rosso D.5 cf 12","Registratore dox 5 prot. rosso D.5 cf 12",1,"41.40",,FALSO,VERO,"SMR","N010",,
14653,11557,"AU0136","Italy","Archivio, organizzazione","Raccoglitori","Registratore dox 5 prot. blu D.5 cf 12","Registratore dox 5 prot. blu D.5 cf 12",1,"41.40",,FALSO,VERO,"SMR","N010",,
14654,11558,"AU0137","Italy","Archivio, organizzazione","Raccoglitori","Registratore dox 5 prot. verde D.5 cf 12","Registratore dox 5 prot. verde D.5 cf 12",1,"41.40",,FALSO,VERO,"SMR","N010",,
14655,11559,"AU0138","Italy","Archivio, organizzazione","Raccoglitori","Registratore dox 1 comm. rosso D.8","Registratore dox 1 comm. rosso D.8 cf 12",6,"24.65",,FALSO,FALSO,"SMR","N010",,
14656,11560,"AU0139","Italy","Archivio, organizzazione","Raccoglitori","Registratore dox 1 comm. blu D.8","Registratore dox 1 comm. blu D.8 cf 12",6,"24.65",,FALSO,FALSO,"SMR","N010",,
14657,11561,"AU0140","Italy","Archivio, organizzazione","Raccoglitori","Registratore dox 1 comm. giallo D.8","Registratore dox 1 comm. giallo D.8 cf 12",6,"24.65",,FALSO,FALSO,"SMR","N010",,
14658,11562,"AU0141","Italy","Archivio, organizzazione","Raccoglitori","Registratore dox 1 comm. verde D.8","Registratore dox 1 comm. verde D.8 cf 12",6,"24.65",,FALSO,FALSO,"SMR","N010",,
