"Object","Object","Object","ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo",,"Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
25283,15823,11784,"CBP074","Italy","Penne, accessori","Post-it","Post-it index 684 mini freccia","Post-it index 684 mini freccia",1,"3.81",,FALSO,FALSO,"SMR","N010",,
25284,15824,11785,"CBP075","Italy","Carta, buste","Carta stampanti, fax","Risma di carta A3 bianca 160 gr da 500 fogli","Risma di carta A3 bianca 160 gr da 500 fogli",1,"8.15",,FALSO,FALSO,"SMR","N010",,
25285,15825,11786,"CBP075","Italy","Penne, accessori","Post-it","Post-it index 686 strong","Post-it index 686 strong",1,"4.47",,FALSO,FALSO,"SMR","N010",,
25286,15826,11787,"CBP076","Italy","Carta, buste","Carta stampanti, fax","Risma di carta A4 bianca 100gr da 500 fogli","Risma di carta A4 bianca 100gr da 500 fogli",1,"5.00",,FALSO,FALSO,"SMR","N010",,
25287,15830,11791,"CBP080","Italy","Carta, buste","Carta stampanti, fax","Modulo continuo 37.5x11 lettura facilitata","Modulo continuo 37.5x11 lettura facilitata",1,"21.03",,FALSO,FALSO,"SMR","N010",,
25288,15831,11792,"CBP081","Italy","Carta, buste","Fogli protocollo","Fogli protocollo a righe","Fogli protocollo a righe",200,"2.48",,FALSO,FALSO,"SMR","N010",,
25289,15832,11793,"CBP082","Italy","Carta, buste","Fogli protocollo","Fogli protocollo a righe per uso bollo","Fogli protocollo a righe per uso bollo",200,"2.61",,FALSO,FALSO,"SMR","N010",,
25290,15833,11794,"CBP083","Italy","Carta, buste","Buste a foratura univ.","Busta perf. univ. ppl lucida 13/100 22x30","Busta perf. univ. ppl lucida 13/100 22x30",50,"2.22",,FALSO,FALSO,"SMR","N010",,
25291,15834,11795,"CBP084","Italy","Carta, buste","Buste a foratura univ.","Busta perf.univ.antir. 13/100 22x30","Busta perf.univ.antir. 13/100 22x30",50,"1.60",,FALSO,FALSO,"SMR","N010",,
25292,15835,11796,"CBP085","Italy","Carta, buste","Buste a foratura univ.","Busta a L antiriflesso 13/100 22x30","Busta a L antiriflesso 13/100 22x30",50,"2.51",,FALSO,FALSO,"SMR","N010",,
25293,15836,11797,"CBP086","Italy","Carta, buste","Buste a foratura univ.","Busta perf. univ. 23x33","Busta perf.univ. 23X33",25,"3.56",,FALSO,FALSO,"SMR","N010",,
25294,15837,11798,"CBP087","Italy","Carta, buste","Buste a foratura univ.","Busta perf.univ. a soffietto rinforzata 22x30","Busta perf.univ. a soffietto rinforzata 22x30",10,"6.36",,FALSO,FALSO,"SMR","N010",,
25295,15845,11806,"CBP095","Italy","Carta, buste","Buste a sacco avana","Buste avana 19x26 senza logo (500 pezzi)","Buste avana 19x26 senza logo",500,"16.63",,FALSO,FALSO,"SMR","N010",,
25296,15846,11807,"CBP096","Italy","Carta, buste","Buste a sacco avana","Buste avana 23x33 senza logo (500 pezzi)","Buste avana 23x33 senza logo",500,"21.42",,FALSO,FALSO,"SMR","N010",,
25297,15847,11808,"CBP097","Italy","Carta, buste","Buste a sacco avana","Buste avana 25x35 senza soffietto senza logo (500 pezzi)","Buste avana 25x35 senza soffietto senza logo",500,"25.12",,FALSO,FALSO,"SMR","N010",,
25298,15848,11809,"CBP098","Italy","Carta, buste","Buste a sacco avana","Buste avana 25x35 con soffietto senza logo (500 pezzi)","Buste avana 25x35 con soffietto senza logo",500,"25.00",,FALSO,FALSO,"SMR","N010",,
25299,15849,11810,"CBP099","Italy","Carta, buste","Buste a sacco avana","Buste avana 19x26 con logo SOL","Buste avana 19x26 con logo SOL",1000,"130.00",,FALSO,FALSO,"SMR","N010",,
25300,15850,11811,"CBP100","Italy","Carta, buste","Buste a sacco avana","Buste avana 23x33 con logo SOL (500 pezzi)","Buste avana 23x33 con logo SOL",500,"130.00",,FALSO,FALSO,"SMR","N010",,
25301,15851,11812,"CBP101","Italy","Carta, buste","Buste a sacco avana","Buste avana 25x35 senza soffietto con logo SOL","Buste avana 25x35 senza soffietto con logo SOL",1000,"150.00",,FALSO,FALSO,"SMR","N010",,
25302,15852,11813,"CBP102","Italy","Carta, buste","Buste a sacco avana","Buste avana 25x35 con soffietto con logo SOL (500 pezzi)","Buste avana 25x35 con soffietto con logo SOL",1000,"150.00",,FALSO,FALSO,"SMR","N010",,
25303,15853,11814,"CBP103","Italy","Carta, buste","Buste a sacco avana","Buste avana 19x26 con logo VIVISOL (500 pezzi)","Buste avana 19x26 con logo VIVISOL",1000,"120.00",,FALSO,FALSO,"SMR","N010",,
25304,15854,11815,"CBP104","Italy","Carta, buste","Buste a sacco avana","Buste avana 23x33 con logo VIVISOL (500 pezzi)","Buste avana 23x33 con logo VIVISOL",500,"130.00",,FALSO,FALSO,"SMR","N010",,
25305,15855,11816,"CBP105","Italy","Carta, buste","Buste a sacco avana","Buste avana 25x35 senza soffietto con logo VIVISOL (500 pezzi)","Buste avana 25x35 senza soffietto con logo VIVISOL",500,"150.00",,FALSO,FALSO,"SMR","N010",,
25306,15856,11817,"CBP106","Italy","Carta, buste","Buste a sacco avana","Buste avana 25x35 con soffietto con logo VIVISOL (500 pezzi)","Buste avana 25x35 con soffietto con logo VIVISOL",1000,"150.00",,FALSO,FALSO,"SMR","N010",,
25307,15857,11818,"CBP107","Italy","Carta, buste","Buste commerciali","Buste bianche 11x23 senza logo senza finestra (500 pezzi)","Buste bianche 11x23 senza logo senza finestra",500,"7.79",,FALSO,FALSO,"SMR","N010",,
25308,15858,11819,"CBP108","Italy","Carta, buste","Buste commerciali","Buste bianche 11x23 senza logo con finestra (500 pezzi)","Buste bianche 11x23 senza logo con finestra",500,"7.79",,FALSO,FALSO,"SMR","N010",,
25309,15859,11820,"CBP109","Italy","Carta, buste","Buste commerciali","Buste bianche 11x23 con logo SOL senza finestra","Buste bianche 11x23 con logo SOL senza finestra",1000,"70.00",,FALSO,FALSO,"SMR","N010",,
25310,15860,11821,"CBP110","Italy","Carta, buste","Buste commerciali","Buste bianche 11x23 con logo VIVISOL senza finestra","Buste bianche 11x23 con logo VIVISOL senza finestra",1000,"70.00",,FALSO,FALSO,"SMR","N010",,
25311,15861,11822,"CBP111","Italy","Carta, buste","Buste commerciali","Buste bianche 11x23 con logo SOL con finestra","Buste bianche 11x23 con logo SOL con finestra",1000,"70.00",,FALSO,FALSO,"SMR","N010",,
25312,15862,11823,"CBP112","Italy","Carta, buste","Buste commerciali","Buste bianche 11x23 con logo VIVISOL con finestra (500 pezzi)","Buste bianche 11x23 con logo VIVISOL con finestra",1000,"70.00",,FALSO,FALSO,"SMR","N010",,
25313,15864,11825,"CBP114","Italy","Carta, buste","Buste imbottite","Busta imbottita tipo B 12x21","Busta imbottita tipo B 12x21",10,"1.10",,FALSO,FALSO,"SMR","N010",,
25314,15865,11826,"CBP115","Italy","Carta, buste","Buste imbottite","Busta imbottita tipo C 14x21","Busta imbottita tipo C 14x21",10,"1.30",,FALSO,FALSO,"SMR","N010",,
25315,15866,11827,"CBP116","Italy","Carta, buste","Buste imbottite","Busta imbottita tipo D 18x26","Busta imbottita tipo D 18x26",10,"1.50",,FALSO,FALSO,"SMR","N010",,
25316,15867,11828,"CBP117","Italy","Carta, buste","Buste imbottite","Busta imbottita tipo E 22x26","Busta imbottita tipo E 22x26",10,"1.90",,FALSO,FALSO,"SMR","N010",,
25317,15868,11829,"CBP118","Italy","Carta, buste","Buste imbottite","Busta imbottita tipo H 27x36","Busta imbottita tipo H 27x36",10,"2.10",,FALSO,FALSO,"SMR","N010",,
25318,15869,11830,"CBP119","Italy","Carta, buste","Buste imbottite","Busta imbottita tipo J 30x44","Busta imbottita tipo J 30x44",10,"2.40",,FALSO,FALSO,"SMR","N010",,
25319,15870,11831,"CBP120","Italy","Carta, buste","Buste imbottite","Busta imbottita tipo K 35x48","Busta imbottita tipo K 35x48",10,"3.80",,FALSO,FALSO,"SMR","N010",,
25320,15871,11832,"CBP121","Italy","Carta, buste","Buste imbottite","Busta imbottita tipo F/G 23x33","Busta imbottita tipo F/G 23x33",10,"1.40",,FALSO,FALSO,"SMR","N010",,
25321,15872,11833,"CBP122","Italy","Carta, buste","Buste","Buste","Buste a sacco avana",,,,FALSO,FALSO,"SMR","N010",,
25322,15873,11834,"CBP123","Italy","Carta, buste","Buste","Buste a foratura universale","Buste a foratura universale",,,,FALSO,FALSO,"SMR","N010",,
25323,15874,11835,"CBP124","Italy","Carta, buste","Buste","Buste imbottite","Buste imbottite",,,,FALSO,FALSO,"SMR","N010",,
25324,15875,11836,"CBP125","Italy","Carta, buste","Buste","Buste commerciali","Buste commerciali",,,,FALSO,FALSO,"SMR","N010",,
0,0,11837,"CBP126","Italy","Carta, buste","Blocchi, risme carta","Etichette adesive 70X32 27 etichette per foglio","Etichette adesive 70X32 27 etichette per foglio",1,"9.53",,FALSO,VERO,"SMR","N010",,
0,0,11838,"CBP127","Italy","Carta, buste","Blocchi, risme carta","Etichette adesive 70X36 24 etichette per foglio","Etichette adesive 70X36 24 etichette per foglio",1,"9.53",,FALSO,VERO,"SMR","N010",,
0,0,11839,"CBP128","Italy","Carta, buste","Blocchi, risme carta","Etichette adesive 105X37 16 etichette per foglio","Etichette adesive 105X37 16 etichette per foglio",1,"9.53",,FALSO,VERO,"SMR","N010",,
0,0,11840,"CBP129","Italy","Carta, buste","Blocchi, risme carta","Etichette adesive 105X48 12  etichette per foglio","Etichette adesive 105X48 12  etichette per foglio",1,"9.53",,FALSO,VERO,"SMR","N010",,
0,0,11841,"CBP130","Italy","Carta, buste","Blocchi, risme carta","Etichette adesive 105X74 8 etichette per foglio","Etichette adesive 105X74 8 etichette per foglio",1,"9.53",,FALSO,VERO,"SMR","N010",,
0,0,11842,"CBP131","Italy","Carta, buste","Blocchi, risme carta","Etichette adesive 105X148 4 etichette per foglio","Etichette adesive 105X148 4 etichette per foglio",1,"9.53",,FALSO,VERO,"SMR","N010",,
0,0,11843,"CBP132","Italy","Carta, buste","Blocchi, risme carta","Etichette adesive 210X148 2 etichette per foglio","Etichette adesive 210X148 2 etichette per foglio",1,"9.53",,FALSO,VERO,"SMR","N010",,
0,0,11844,"CBP133","Italy","Carta, buste","Blocchi, risme carta","Etichette adesive 210X297 1 etichette per foglio","Etichette adesive 210X297 1 etichette per foglio",1,"9.53",,FALSO,VERO,"SMR","N010",,
0,0,11845,"CBP134","Italy","Carta, buste","Blocchi, risme carta","Carta per stampanti, fax e fotocopiatrici","Carta per stampanti, fax e fotocopiatrici",,,,FALSO,FALSO,"SMR","N010",,
0,0,11846,"CBP135","Italy","Carta, buste","Blocchi, risme carta","Blocchi e quaderni","Blocchi e quaderni",,,,FALSO,FALSO,"SMR","N010",,
0,0,11847,"CBP136","Italy","Carta, buste","Blocchi, risme carta","Carta intestata","Carta intestata",,,,FALSO,FALSO,"SMR","N010",,
0,0,11848,"CBP137","Italy","Carta, buste","Blocchi, risme carta","Fogli protocollo","Fogli protocollo",,,,FALSO,FALSO,"SMR","N010",,
