"Object","ID","Country","Categoria","Settore","Applicazione","Prodotto eng","Prodotto","Confezione","Photo","Prezzo"
12,"ADR0012","Italy","Etichette ADR","Monogas","Bombola","Xeno","Xeno",100,"ADR_Xeno_small.jpg||ADR_Xeno_large.jpg",
13,"ADR0013","Italy","Etichette ADR","Miscele","Bombola","Enermix AX155","Enermix AX155",100,,
14,"ADR0014","Italy","Etichette ADR","Miscele","Bombola","Enermix C3","Enermix C3",100,,
15,"ADR0015","Italy","Etichette ADR","Miscele","Bombola","Enermix C5","Enermix C5",100,,
16,"ADR0016","Italy","Etichette ADR","Miscele","Bombola","Enermix C10","Enermix C10",100,,
17,"ADR0017","Italy","Etichette ADR","Miscele","Bombola","Enermix C15","Enermix C15",100,,
18,"ADR0018","Italy","Etichette ADR","Miscele","Bombola","Enermix C18","Enermix C18",100,,
19,"ADR0019","Italy","Etichette ADR","Miscele","Bombola","Enermix C20","Enermix C20",100,,
20,"ADR0020","Italy","Etichette ADR","Miscele","Bombola","Enermix OX1","Enermix OX1",100,,
21,"ADR0021","Italy","Etichette ADR","Miscele","Bombola","Enermix OX2","Enermix OX2",100,,
22,"ADR0022","Italy","Etichette ADR","Miscele","Bombola","Enermix OX3","Enermix OX3",100,,
23,"ADR0023","Italy","Etichette ADR","Miscele","Bombola","Enermix 3A","Enermix 3A",100,,
24,"ADR0024","Italy","Etichette ADR","Miscele","Bombola","Enermix 3B","Enermix 3B",100,,
25,"ADR0025","Italy","Etichette ADR","Miscele","Bombola","Enermix 3C","Enermix 3C",100,,
26,"ADR0026","Italy","Etichette ADR","Miscele","Bombola","Enermix 3D","Enermix 3D",100,,
27,"ADR0027","Italy","Etichette ADR","Miscele","Bombola","Enermix BS2","Enermix BS2",100,,
28,"ADR0028","Italy","Etichette ADR","Miscele","Bombola","Enermix M11A","Enermix M11A",100,,
29,"ADR0029","Italy","Etichette ADR","Miscele","Bombola","Enermix M12A","Enermix M12A",100,,
30,"ADR0030","Italy","Etichette ADR","Miscele","Bombola","Enermix M14A","Enermix M14A",100,,
31,"ADR0031","Italy","Etichette ADR","Miscele","Bombola","Enermix M14B","Enermix M14B",100,,
32,"ADR0032","Italy","Etichette ADR","Miscele","Bombola","Enermix M21A","Enermix M21A",100,,
33,"ADR0033","Italy","Etichette ADR","Miscele","Bombola","Enermix M23A","Enermix M23A",100,,
34,"ADR0034","Italy","Etichette ADR","Miscele","Bombola","Enermix M24B","Enermix M24B",100,,
35,"ADR0035","Italy","Etichette ADR","Miscele","Bombola","Enermix M24C","Enermix M24C",100,,
36,"ADR0036","Italy","Etichette ADR","Miscele","Bombola","Enermix M39A","Enermix M39A",100,,
37,"ADR0037","Italy","Etichette ADR","Miscele","Bombola","Enermix M112A","Enermix M112A",100,,
38,"ADR0038","Italy","Etichette ADR","Miscele","Bombola","Enermix M241A","Enermix M241A",100,,
39,"ADR0039","Italy","Etichette ADR","Monogas","Bombola","Acetilene disciolto","Acetilene disciolto",100,,
40,"ADR0040","Italy","Etichette ADR","Monogas","Bombola","Idrogeno compresso","Idrogeno compresso",100,,
41,"ADR0041","Italy","Etichette ADR","Monogas","Bombola","Metano compresso","Metano compresso",100,,
42,"ADR0042","Italy","Etichette ADR","Miscele","Bombola","Enermix H5","Enermix H5",100,,
43,"ADR0043","Italy","Etichette ADR","Miscele","Bombola","Enermix H7","Enermix H7",100,,
44,"ADR0044","Italy","Etichette ADR","Miscele","Bombola","Enermix H20","Enermix H20",100,,
45,"ADR0045","Italy","Etichette ADR","Miscele","Bombola","Enermix H25","Enermix H25",100,,
46,"ADR0046","Italy","Etichette ADR","Miscele","Bombola","Enermix H35","Enermix H35",100,,
47,"ADR0047","Italy","Etichette ADR","Miscele","Bombola","Enermix NH5","Enermix NH5",100,,
48,"ADR0048","Italy","Etichette ADR","Miscele","Bombola","Enermix HH10","Enermix HH10",100,,
49,"ADR0049","Italy","Etichette ADR","Miscele","Bombola","Enermix NH20","Enermix NH20",100,,
50,"ADR0050","Italy","Etichette ADR","Miscele","Bombola","Enermix NH50","Enermix NH50",100,,
51,"ADR0051","Italy","Etichette ADR","Miscele","Bombola","Enermix R11A","Enermix R11A",100,,
52,"ADR0052","Italy","Etichette ADR","Monogas","Bombola","Ossigeno compresso","Ossigeno compresso",100,,
53,"ADR0053","Italy","Etichette ADR","Monogas","Bombola","Ossigeno compresso E948","Ossigeno compresso E948",100,,
54,"ADR0054","Italy","Etichette ADR","Monogas","Bombola","Protossido di azoto","Protossido di azoto",100,,
55,"ADR0055","Italy","Etichette ADR","Monogas","Bombola","Protossido di azoto E942","Protossido di azoto E942",100,,
56,"ADR0056","Italy","Etichette ADR","Monogas","Bombola","Diossido di zolfo","Diossido di zolfo",100,,
57,"ADR0057","Italy","Etichette ADR","Monogas","Bombola","Diossido di zolfo E220","Diossido di zolfo E220",100,,
58,"ADR0058","Italy","Etichette ADR","Monogas","Bombola","Etilene","Etilene",100,,
59,"ADR0059","Italy","Etichette ADR","Monogas","Bombola","Trifluoruro di boro","Trifluoruro di boro",100,,
60,"ADR0060","Italy","Etichette ADR","Monogas","Bombola","Ammoniaca anidra","Ammoniaca anidra",100,,
61,"ADR0061","Italy","Etichette ADR","Monogas","Bombola","Diossido di azoto","Diossido di azoto",100,,
62,"ADR0062","Italy","Etichette ADR","Monogas","Bombola","Monossido di carbonio compresso","Monossido di carbonio compresso",100,,
63,"ADR0063","Italy","Etichette ADR","Monogas","Bombola","Ossido di azoto compresso","Ossido di azoto compresso",100,,
64,"ADR0064","Italy","Etichette ADR","Monogas","Bombola","Ossido di etilene","Ossido di etilene",100,,
65,"ADR0065","Italy","Etichette ADR","Monogas","Bombola","Solfuro di idrogeno","Solfuro di idrogeno",100,,
66,"ADR0066","Italy","Etichette ADR","Monogas","Bombola","Tetrossido di diazoto","Tetrossido di diazoto",100,,
67,"ADR0067","Italy","Etichette ADR","Monogas","Bombola","Gas puro","Gas puro",100,,
68,"ADR0068","Italy","Etichette ADR","Monogas","Bombola","Gas purissimo","Gas purissimo",100,,
69,"ADR0069","Italy","Etichette ADR","Monogas","Bombola","Gas ultra puro","Gas ultra puro",100,,
70,"ADR0070","Italy","Etichette ADR","Monogas","Bombola","Grado elettronica","Grado elettronica",100,,
71,"ADR0071","Italy","Etichette ADR","Monogas","Bombola","Grado megabit","Grado megabit",100,,
72,"ADR0072","Italy","Etichette ADR","Monogas","Bombola","Grado ricerche","Grado ricerche",100,,
73,"ADR0073","Italy","Etichette ADR","Monogas","Bombola","Grado ricerche extra","Grado ricerche extra",100,,
74,"ADR0074","Italy","Etichette ADR","Monogas","Bombola","Compliant HACCP","Compliant HACCP",100,,
75,"ADR0075","Italy","Etichette ADR","Monogas","Bombola","HE300","HE300",100,,
76,"ADR0076","Italy","Etichette ADR","Monogas","Bombola","Industriale puro","Industriale puro",100,,
77,"ADR0077","Italy","Etichette ADR","Monogas","Bombola","Applicazioni laser","Applicazioni laser",100,,
78,"ADR0078","Italy","Etichette ADR","Monogas","Bombola","laser","laser",100,,
79,"ADR0079","Italy","Etichette ADR","Monogas","Bundle","Diossido di carbonio (anidride carbonica)","Diossido di carbonio (anidride carbonica)",25,,
80,"ADR0080","Italy","Etichette ADR","Monogas","Bundle","Diossido di carbonio E290 (anidride carbonica)","Diossido di carbonio E290 (anidride carbonica)",25,,
81,"ADR0081","Italy","Etichette ADR","Monogas","Bundle","Azoto compresso","Azoto compresso",25,,
82,"ADR0082","Italy","Etichette ADR","Monogas","Bundle","Azoto compresso E941","Azoto compresso E941",25,,
83,"ADR0083","Italy","Etichette ADR","Monogas","Bundle","Azoto liquido refrigerato","Azoto liquido refrigerato",25,,
84,"ADR0084","Italy","Etichette ADR","Monogas","Bundle","Argon compresso","Argon compresso",25,,
85,"ADR0085","Italy","Etichette ADR","Monogas","Bundle","Argon compresso E938","Argon compresso E938",25,,
86,"ADR0086","Italy","Etichette ADR","Monogas","Bundle","Elio compresso","Elio compresso",25,,
87,"ADR0087","Italy","Etichette ADR","Monogas","Bundle","Elio liquido refrigerato","Elio liquido refrigerato",25,,
88,"ADR0088","Italy","Etichette ADR","Miscele","Bundle","Enermix AX155","Enermix AX155",25,,
89,"ADR0089","Italy","Etichette ADR","Miscele","Bundle","Enermix C3","Enermix C3",25,,
90,"ADR0090","Italy","Etichette ADR","Miscele","Bundle","Enermix C5","Enermix C5",25,,
91,"ADR0091","Italy","Etichette ADR","Miscele","Bundle","Enermix C10","Enermix C10",25,,
92,"ADR0092","Italy","Etichette ADR","Miscele","Bundle","Enermix C15","Enermix C15",25,,
93,"ADR0093","Italy","Etichette ADR","Miscele","Bundle","Enermix C18","Enermix C18",25,,
94,"ADR0094","Italy","Etichette ADR","Miscele","Bundle","Enermix C20","Enermix C20",25,,
95,"ADR0095","Italy","Etichette ADR","Miscele","Bundle","Enermix OX3","Enermix OX3",25,,
96,"ADR0096","Italy","Etichette ADR","Miscele","Bundle","Enermix 3A","Enermix 3A",25,,
97,"ADR0097","Italy","Etichette ADR","Miscele","Bundle","Enermix 3D","Enermix 3D",25,,
98,"ADR0098","Italy","Etichette ADR","Miscele","Bundle","Enermix M12A","Enermix M12A",25,,
99,"ADR0099","Italy","Etichette ADR","Miscele","Bundle","Enermix M14A","Enermix M14A",25,,
100,"ADR0100","Italy","Etichette ADR","Miscele","Bundle","Enermix M21A","Enermix M21A",25,,
101,"ADR0101","Italy","Etichette ADR","Miscele","Bundle","Enermix M21B","Enermix M21B",25,,
102,"ADR0102","Italy","Etichette ADR","Monogas","Bundle","Acetilene disciolto","Acetilene disciolto",25,,
103,"ADR0103","Italy","Etichette ADR","Monogas","Bundle","Idrogeno compresso","Idrogeno compresso",25,,
104,"ADR0104","Italy","Etichette ADR","Miscele","Bundle","Enermix H5","Enermix H5",25,,
105,"ADR0105","Italy","Etichette ADR","Miscele","Bundle","Enermix H7","Enermix H7",25,,
106,"ADR0106","Italy","Etichette ADR","Miscele","Bundle","Enermix H35","Enermix H35",25,,
107,"ADR0107","Italy","Etichette ADR","Miscele","Bundle","Enermix NH5","Enermix NH5",25,,
108,"ADR0108","Italy","Etichette ADR","Miscele","Bundle","Enermix NH50","Enermix NH50",25,,
109,"ADR0109","Italy","Etichette ADR","Monogas","Bundle","Ossigeno compresso","Ossigeno compresso",25,,
110,"ADR0110","Italy","Etichette ADR","Monogas","Bundle","Ossigeno compresso E948","Ossigeno compresso E948",25,,
111,"ADR0111","Italy","Etichette ADR","Monogas","Bundle","Ossigeno liquido refrigerato","Ossigeno liquido refrigerato",25,,
112,"ADR0112","Italy","Etichette ADR","Monogas","Bundle","Protossido di azoto","Protossido di azoto",25,,
113,"ADR0113","Italy","Etichette ADR","Monogas","Bundle","Gas puro","Gas puro",25,,
114,"ADR0114","Italy","Etichette ADR","Monogas","Bundle","Gas purissimo","Gas purissimo",25,,
115,"ADR0115","Italy","Etichette ADR","Monogas","Bundle","Gas ultra puro","Gas ultra puro",25,,
116,"ADR0116","Italy","Etichette ADR","Monogas","Bundle","Grado elettronica","Grado elettronica",25,,
117,"ADR0117","Italy","Etichette ADR","Monogas","Bundle","Grado ricerche","Grado ricerche",25,,
118,"ADR0118","Italy","Etichette ADR","Monogas","Bundle","Grado ricerche extra","Grado ricerche extra",25,,
119,"ADR0119","Italy","Etichette ADR","Monogas","Bundle","Compliant HACCP","Compliant HACCP",25,,
120,"ADR0120","Italy","Etichette ADR","Monogas","Bundle","HE300","HE300",25,,
121,"ADR0121","Italy","Etichette ADR","Monogas","Bundle","Industriale puro","Industriale puro",25,,
122,"ADR0122","Italy","Etichette ADR","Monogas","Bundle","laser","laser",25,,
124,"ADR0123","Italy","Etichette ADR","Monogas","Dewar","Azoto liquido refrigerato","Azoto liquido refrigerato",100,,
125,"ADR0124","Italy","Etichette ADR","Monogas","Dewar","Ossigeno liquido refrigerato","Ossigeno liquido refrigerato",100,,
126,"ADR0125","Italy","Etichette ADR","Monogas","Dewar","Protossido di azoto liquido refrigerato","Protossido di azoto liquido refrigerato",100,,
123,"ADR0126","Italy","Etichette ADR","Monogas","Bundle","Ammoniaca anidra","Ammoniaca anidra",25,,
124,"ADR0127","Italy","Etichette ADR","Monogas","Bundle","Simboli infiammabile","Simboli infiammabile",25,,
125,"ADR0128","Italy","Etichette ADR","Monogas","Bundle","Simboli comburente","Simboli comburente",25,,
126,"ADR0129","Italy","Etichette ADR","Monogas","Bundle","Simboli tossico","Simboli tossico",25,,
127,"ADR0130","Italy","Etichette ADR","Monogas","Bundle","Simboli corrosivo","Simboli corrosivo",25,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,"Etichette ADR","Monogas","Bombola",,,,,
,,,,"Monogas","Bombola",,,,,
,,,,"Miscele",,,,,,
,,,,"Altre",,,,,,
,,,,"Basi stampabili",,,,,,
,,,,,,,,,,
,,,,,"Bundle",,,,,
,,,,,,,,,,
,,,,,"Dewar",,,,,
