"Object","ID","Country","Categoria","Settore","Applicazione","Prodotto eng","Prodotto","Confezione","Photo","Prezzo"
27893,"ADR0048","Italy","Etichette ADR","Miscele","Bombola","Enermix NH10","Enermix NH10",100,"ADR_Enermix-NH10_small.jpg||ADR_Enermix-NH10_large.jpg||ADR_Bombola_Infiammabile-photo_large.jpg",
27894,"ADR0049","Italy","Etichette ADR","Miscele","Bombola","Enermix NH20","Enermix NH20",100,"ADR_Enermix-NH20_small.jpg||ADR_Enermix-NH20_large.jpg||ADR_Bombola_Infiammabile-photo_large.jpg",
27895,"ADR0050","Italy","Etichette ADR","Miscele","Bombola","Enermix NH50","Enermix NH50",100,"ADR_Enermix-NH50_small.jpg||ADR_Enermix-NH50_large.jpg||ADR_Bombola_Infiammabile-photo_large.jpg",
27896,"ADR0051","Italy","Etichette ADR","Miscele","Bombola","Enermix R11A","Enermix R11A",100,"ADR_Enermix-R11A_small.jpg||ADR_Enermix-R11A_large.jpg||ADR_Bombola_Infiammabile-photo_large.jpg",
27897,"ADR0052","Italy","Etichette ADR","Monogas","Bombola","Ossigeno compresso","Ossigeno compresso",100,"ADR_Ossigeno-compresso_small.jpg||ADR_Ossigeno-compresso_large.jpg||ADR_Bombola_comburentii-photo_large.jpg",
27898,"ADR0053","Italy","Etichette ADR","Monogas","Bombola","Ossigeno compresso E948","Ossigeno compresso E948",100,"ADR_Ossigeno-compresso-e948_small.jpg||ADR_Ossigeno-compresso-E948_large.jpg||ADR_Bombola_comburentii-photo_large.jpg",
27899,"ADR0054","Italy","Etichette ADR","Monogas","Bombola","Protossido di azoto","Protossido di azoto",100,"ADR_Protossido-di-azoto_small.jpg||ADR_Protossido-di-azoto_large.jpg||ADR_Bombola_comburentii-photo_large.jpg",
27900,"ADR0055","Italy","Etichette ADR","Monogas","Bombola","Protossido di azoto E942","Protossido di azoto E942",100,"ADR_Protossido-di-azoto-E942_small.jpg||ADR_Protossido-di-azoto-E942_large.jpg||ADR_Bombola_comburentii-photo_large.jpg",
27901,"ADR0056","Italy","Etichette ADR","Monogas","Bombola","Diossido di zolfo","Diossido di zolfo",100,"ADR_Diossido-di-zolfo_small.jpg||ADR_Diossido-di-zolfo_large.jpg||ADR_Bombola_tox-1-photo_large.jpg",
27902,"ADR0057","Italy","Etichette ADR","Monogas","Bombola","Diossido di zolfo E220","Diossido di zolfo E220",100,"ADR_Diossido-di-zolfo-E220_small.jpg||ADR_Diossido-di-zolfo-E220_large.jpg||ADR_Bombola_tox-1-photo_large.jpg",
27903,"ADR0058","Italy","Etichette ADR","Monogas","Bombola","Etilene","Etilene",100,"ADR_Etilene_small.jpg||ADR_Etilene_large.jpg||ADR_Bombola_tox-2-photo_large.jpg",
27904,"ADR0059","Italy","Etichette ADR","Monogas","Bombola","Trifluoruro di boro","Trifluoruro di boro",100,"ADR_Trifluoruro-di-boro_small.jpg||ADR_Trifluoruro-di-boro_large.jpg||ADR_Bombola_tox-1-photo_large.jpg",
27905,"ADR0060","Italy","Etichette ADR","Monogas","Bombola","Ammoniaca anidra","Ammoniaca anidra",100,"ADR_Ammoniaca-anidra_small.jpg||ADR_Ammoniaca-anidra_large.jpg||ADR_Bombola_tox-3-photo_large.jpg",
27906,"ADR0061","Italy","Etichette ADR","Monogas","Bombola","Diossido di azoto","Diossido di azoto",100,"ADR_Diossido-di-azoto_small.jpg||ADR_Diossido-di-azoto_large.jpg||ADR_Bombola_tox-4-photo_large.jpg",
27907,"ADR0062","Italy","Etichette ADR","Monogas","Bombola","Monossido di carbonio compresso","Monossido di carbonio compresso",100,"ADR_Monossido-di-carbonio-compresso_small.jpg||ADR_Monossido-di-carbonio-compresso_large.jpg||ADR_Bombola_tox-5-photo_large.jpg",
27908,"ADR0063","Italy","Etichette ADR","Monogas","Bombola","Ossido di azoto compresso","Ossido di azoto compresso",100,"ADR_Ossido-di-azoto-compresso_small.jpg||ADR_Ossido-di-azoto-compresso_large.jpg||ADR_Bombola_tox-4-photo_large.jpg",
