"ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo",,"Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
"ACC059","Italy","Etichettatrici e ricambi","Ricambi Dymo","Nastro Dymo Letratag rosso 12x4mt","Nastro Dymo Letratag rosso 12x4mt",1,"4.77",,FALSO,FALSO,"SMR","N010",,
"ACC060","Italy","Etichettatrici e ricambi","Ricambi Dymo","Nastro Dymo Letratag verde 12x4mt","Nastro Dymo Letratag verde 12x4mt",1,"4.83",,FALSO,FALSO,"SMR","N010",,
"ACC061","Italy","Etichettatrici e ricambi","Ricambi Dymo","Nastro Dymo Letratag blu 12x4mt","Nastro Dymo Letratag blu 12x4mt",1,"4.77",,FALSO,FALSO,"SMR","N010",,
"ACC062","Italy","Etichettatrici e ricambi","Ricambi Dymo","Nastro nero/bianco 6x7 (LP250)","Nastro nero/bianco 6x7 (LP250)",1,"9.21",,FALSO,VERO,"SMR","N010",,
"ACC063","Italy","Etichettatrici e ricambi","Ricambi Dymo","Nastro nero/bianco 9x7 (LP250)","Nastro nero/bianco 9x7 (LP250)",1,"9.54",,FALSO,VERO,"SMR","N010",,
"ACC064","Italy","Etichettatrici e ricambi","Ricambi Dymo","Nastro Dymo 12mmx7mt nero su rosso","Nastro Dymo 12mmx7mt nero su rosso",1,"10.90",,FALSO,FALSO,"SMR","N010",,
"ACC065","Italy","Etichettatrici e ricambi","Ricambi Dymo","Nastro Dymo 12mmx7mt nero su verde","Nastro Dymo 12mmx7mt nero su verde",1,"10.90",,FALSO,FALSO,"SMR","N010",,
"ACC066","Italy","Etichettatrici e ricambi","Ricambi Dymo","Alimentatore universale Dymo","Alimentatore universale Dymo",1,"25.60",,FALSO,FALSO,"SMR","N010",,
"ACC067","Italy","Etichettatrici e ricambi","Ricambi Dymo","Nastro Dymo D1 9X7 nero su bianco","Nastro Dymo D1 9X7 nero su bianco",1,"9.74",,FALSO,FALSO,"SMR","N010",,
"ACC068","Italy","Imballaggio e sigilli","Imballaggio","Cutter lama piccola art. M10150","Cutter lama piccola art. M10150",1,"2.97",,FALSO,VERO,"SMR","N010",,
"ACC069","Italy","Imballaggio e sigilli","Imballaggio","Cutter lama gigante art. M10151","Cutter lama gigante art. M10151",1,"4.98",,FALSO,VERO,"SMR","N010",,
"ACC070","Italy","Imballaggio e sigilli","Imballaggio","Cutter lama grande","Cutter lama grande",1,"0.52",,FALSO,FALSO,"SMR","N010",,
"ACC071","Italy","Imballaggio e sigilli","Imballaggio","Extendable film","Film estensibile",6,"27.12",,FALSO,FALSO,"SMR","N014",,
"ACC072","Italy","Imballaggio e sigilli","Imballaggio","Buste sovrapacco 11x17","Buste sovrapacco 11x17",100,"9.62",,FALSO,FALSO,"SMR","N010",,
"ACC073","Italy","Imballaggio e sigilli","Imballaggio","Busta minigrip con cerniera 15x22","Busta minigrip con cerniera 15x22",100,"3.13",,FALSO,FALSO,"SMR","N010",,
"ACC074","Italy","Imballaggio e sigilli","Imballaggio","Busta minigrip con cerniera 25x35","Busta minigrip con cerniera 25x35",100,"6.29",,FALSO,FALSO,"SMR","N010",,
"ACC075","Italy","Imballaggio e sigilli","Imballaggio","Busta sovrapacco 21x16","Busta sovrapacco 21x16",100,"11.03",,FALSO,FALSO,"SMR","N010",,
"ACC076","Italy","Imballaggio e sigilli","Imballaggio","Lame di ricambio per cutter","Lame di ricambio per cutter",10,"1.67",,FALSO,FALSO,"SMR","N010",,
"ACC077","Italy","Imballaggio e sigilli","Imballaggio","Elastici 60 mm (1 kg)","Elastici 60 mm (1 kg)",1,"3.88",,FALSO,FALSO,"SMR","N010",,
"ACC078","Italy","Imballaggio e sigilli","Imballaggio","Elastici 150 mm (1 kg)","Elastici 150 mm (1 kg)",1,"4.08",,FALSO,FALSO,"SMR","N010",,
"ACC079","Italy","Imballaggio e sigilli","Imballaggio","Nastro biadesivo 19x50","Nastro biadesivo 19x50",1,"2.28",,FALSO,FALSO,"SMR","N010",,
"ACC080","Italy","Imballaggio e sigilli","Imballaggio","Nastratore con frizione","Nastratore con frizione",1,"9.58",,FALSO,FALSO,"SMR","N010",,
"ACC081","Italy","Imballaggio e sigilli","Imballaggio","Fascetta Nylon 200 x 2,5mm","Fascetta Nylon 200 x 2,5mm",1000,"7.80",,FALSO,FALSO,"SMR","N014",,
"ACC082","Italy","Imballaggio e sigilli","Nastro adesivo","Rotolo di nastro adesivo SOL","Rotolo di nastro adesivo SOL",36,"33.70",,FALSO,FALSO,"SMR","N014",,
"ACC083","Italy","Imballaggio e sigilli","Nastro adesivo","Rotolo di nastro adesivo VIVISOL","Rotolo di nastro adesivo VIVISOL",36,"33.70",,FALSO,FALSO,"SMR","N014",,
"ACC084","Italy","Imballaggio e sigilli","Sigilli di garanzia","Sigillo di garanzia per unità base ossigeno liquido MVE p/n TP003","Tappini DEWAR O2 liquido",5000,"100.00",,FALSO,FALSO,"SMR","N011",,
"ACC085","Italy","Imballaggio e sigilli","Sigilli di garanzia","Sigillo di garanzia per unità base ossigeno liquido Penox p/n TP002","Tappini U.B. PENOX",2500,"50.00",,FALSO,FALSO,"SMR","N011",,
"ACC086","Italy","Imballaggio e sigilli","Sigilli di garanzia","Sigillo di garanzia bianco a portagomma 9/16 Dx per gruppo valvola riduttrice (confezione da 1'000 pezzi)","Tappini bianchi per portag. 9/16 Dx",,"0.02",,FALSO,FALSO,"SMR","N011",,
"ACC087","Italy","Imballaggio e sigilli","Termoretraibili","Termoretraibile 55x120","Termoretraibile mm 55x120",1,"0.02",,FALSO,FALSO,"SMR","N011",,
"ACC088","Italy","Imballaggio e sigilli","Termoretraibili","Termoretraibile 100x130 (lotto da 7'500 pezzi)","Termoretraibile mm 100x130",1,"225.00",,FALSO,VERO,"SMR","N011",,
"ACC089","Italy","Imballaggio e sigilli","Termoretraibili","Termoretraibile 210x210","Termoretraibile mm 210x210",1500,"135.00",,FALSO,VERO,"SMR","N011",,
"ACC090","Italy","Imballaggio e sigilli","Termoretraibili","Termoretraibile 245x300 (lotto da 2'500 pezzi)","Termoretraibile mm 245x300",,"225.00",,FALSO,FALSO,"SMR","N011",,
"ACC091","Italy","Imballaggio e sigilli","Termoretraibili","Termoretraibile mm 130x130","Termoretraibile mm 130x130",6000,"180.00",,FALSO,FALSO,"SMR","N011",,
