"Object","ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo","Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
12479,"PP019","Italy","Prodotti promozionali","SOL","Portabiglietti","Portabiglietti",1,"250",FALSO,FALSO,"SMR","N016",,
12480,"PP020","Italy","Prodotti promozionali","SOL","Logo SolMedical 15x4.5 cm","Logo SolMedical 15x4.5 cm",1,"30",FALSO,FALSO,"SMR","N016",,
12481,"PP021","Italy","Prodotti promozionali","SOL","Logo SolMedical 20x6 cm","Logo SolMedical 20x6 cm",1,"50",FALSO,FALSO,"SMR","N016",,
12482,"PP022","Italy","Prodotti promozionali","SOL","Logo SolMedical 24x20 cm","Logo SolMedical 24x20 cm",1,"100",FALSO,FALSO,"SMR","N016",,
12483,"PP023","Italy","Prodotti promozionali","SOL","Logo SolMedical negativo 4.5x1.2 cm","Logo SolMedical negativo 4.5x1.2 cm",1,"15",FALSO,FALSO,"SMR","N016",,
12484,"PP024","Italy","Prodotti promozionali","SOL","Logo SolMedical negativo 10x3 cm","Logo SolMedical negativo 10x3 cm",1,"20",FALSO,FALSO,"SMR","N016",,
12485,"PP025","Italy","Prodotti promozionali","SOL","Logo SolMedical negativo 15x4.5 cm","Logo SolMedical negativo 15x4.5 cm",1,"30",FALSO,FALSO,"SMR","N016",,
12486,"PP026","Italy","Prodotti promozionali","SOL","Logo SolMedical negativo 20x6 cm","Logo SolMedical negativo 20x6 cm",1,"50",FALSO,FALSO,"SMR","N016",,
12487,"PP027","Italy","Prodotti promozionali","SOL","Chiave USB 1 GB","Chiave USB 1 GB",1,"1100",FALSO,FALSO,"SMR","N016",,
12488,"PP028","Italy","Prodotti promozionali","SOL","Borsa plastificata","Borsa plastificata",1,"200",FALSO,FALSO,"SMR","N016",,
12489,"PP029","Italy","Prodotti promozionali","SOL","Borsa bianca di juta","Borsa bianca di juta",1,"100",FALSO,FALSO,"SMR","N016",,
12490,"PP030","Italy","Prodotti promozionali","SOL","Cartelletta plastificata","Cartelletta plastificata",1,"100",FALSO,FALSO,"SMR","N016",,
12491,"PP031","Italy","Prodotti promozionali","SOL","Borsa blu di juta","Borsa blu di juta",1,"100",FALSO,FALSO,"SMR","N016",,
12492,"PP032","Italy","Prodotti promozionali","SOL","Porta CD","Porta CD",1,"300",FALSO,FALSO,"SMR","N016",,
12493,"PP033","Italy","Prodotti promozionali","SOL","Gel igienizzante SOL","Gel igienizzante SOL",1,"200",FALSO,FALSO,"SMR","N016",,
12494,"PP034","Italy","Prodotti promozionali","SOL","Cartellina SOLution point","Cartellina SOLution point",1,"100",FALSO,FALSO,"SMR","N016",,
12495,"PP035","Italy","Prodotti promozionali","VIVISOL","Kit per congresso provinciale o stage","Kit per congresso provinciale o stage",1,"40000",FALSO,FALSO,"SMR","N016",,
12496,"PP036","Italy","Prodotti promozionali","VIVISOL","Penne con logo VIVISOL","Penne con logo VIVISOL",1,"60",FALSO,FALSO,"SMR","N016",,
12497,"PP037","Italy","Prodotti promozionali","VIVISOL","VIVISOL folder (solo per l'Italia)","VIVISOL folder (solo per l'Italia)",1,"90",FALSO,FALSO,"SMR","N016",,
12498,"PP038","Italy","Prodotti promozionali","VIVISOL","Blocco note VIVISOL","Blocco note VIVISOL",1,"120",FALSO,FALSO,"SMR","N016",,
12499,"PP039","Italy","Prodotti promozionali","VIVISOL","Kit per congresso internazionale","Kit per congresso internazionale",1,"190000",FALSO,FALSO,"SMR","N016",,
12500,"PP040","Italy","Prodotti promozionali","VIVISOL","Kit per congresso nazionale","Kit per congresso nazionale",1,"190000",FALSO,FALSO,"SMR","N016",,
12501,"PP041","Italy","Prodotti promozionali","VIVISOL","Kit per congresso regionale","Kit per congresso regionale",1,"60000",FALSO,FALSO,"SMR","N016",,
12502,"PP042","Italy","Prodotti promozionali","VIVISOL","Card VIVISOL personalizzate","Card VIVISOL personalizzate",1,"26000",FALSO,FALSO,"SMR","N016",,
12503,"PP043","Italy","Prodotti promozionali","VIVISOL","Borse economiche in juta","Borse economiche in juta",1,"80",FALSO,FALSO,"SMR","N016",,
12504,"PP044","Italy","Prodotti promozionali","VIVISOL","Borse congressuali shopper stilizzate 40x33 cm","Borse congressuali shopper stilizzate 40x33 cm",1,"260",FALSO,FALSO,"SMR","N016",,
12505,"PP045","Italy","Prodotti promozionali","VIVISOL","VIVISOL Folders (for foreign branches only)","VIVISOL Folders (for foreign branches only)",1,"90",FALSO,FALSO,"SMR","N016",,
12506,"PP046","Italy","Prodotti promozionali","VIVISOL","Cartelletta per aerosolterapia","Cartelletta per aerosolterapia",1,"0",FALSO,FALSO,"SMR","N016",,
12507,"PP047","Italy","Prodotti promozionali","VIVISOL","Monografia VIVISOL Italia","Monografia VIVISOL Italia",1,"0",FALSO,FALSO,"SMR","N016",,
12508,"PP048","Italy","Prodotti promozionali","VIVISOL","Leva fustella con manico in legno e logo VIVISOL (solo per servizio farmacia)","Leva fustella con manico in legno e logo VIVISOL (solo per servizio farmacia)",1,"450",FALSO,FALSO,"SMR","N016",,
