"ID","Country","Categoria","Settore","DescrEn","Prodotto","Confezione","Prezzo",,"Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
"AU0054","Italy","Accessori ufficio","Timbri e accessori","Inchiostro per timbri blu","Inchiostro per timbri blu",1,83,,FALSO,FALSO,"SMR","N010",,
"AU0055","Italy","Accessori ufficio","Timbri e accessori","Inchiostro per timbri nero","Inchiostro per timbri nero",1,83,,FALSO,FALSO,"SMR","N010",,
"AU0056","Italy","Accessori ufficio","Timbri e accessori","Inchiostro per timbri rosso","Inchiostro per timbri rosso",1,83,,FALSO,FALSO,"SMR","N010",,
"AU0057","Italy","Accessori ufficio","Timbri e accessori","Inchiostro per timbri nero ad olio","Inchiostro per timbri nero ad olio",1,173,,FALSO,FALSO,"SMR","N010",,
"AU0058","Italy","Accessori ufficio","Timbri e accessori","Cuscinetto per timbri 7x11 blu","Cuscinetto per timbri 7x11 blu",1,236,,FALSO,FALSO,"SMR","N010",,
"AU0059","Italy","Accessori ufficio","Timbri e accessori","Cuscinetto per timbri 7x11 nero","Cuscinetto per timbri 7x11 nero",1,236,,FALSO,FALSO,"SMR","N010",,
"AU0060","Italy","Accessori ufficio","Timbri e accessori","Cuscinetto per timbri 7x11 rosso","Cuscinetto per timbri 7x11 rosso",1,236,,FALSO,FALSO,"SMR","N010",,
"AU0061","Italy","Accessori ufficio","Timbri e accessori","Datario in gomma mm5","Datario in gomma mm5",1,216,,FALSO,FALSO,"SMR","N010",,
"AU0062","Italy","Accessori ufficio","Timbri e accessori","Numeratore automatico 3887","Numeratore automatico 3887",1,9730,,FALSO,FALSO,"SMR","N010",,
"AU0063","Italy","Accessori ufficio","Timbri e accessori","Feltri di ricambio per numeratore","Feltri di ricambio per numeratore",1,537,,FALSO,FALSO,"SMR","N010",,
"AU0064","Italy","Accessori ufficio","Timbri e accessori","Tamponcini di ricambio Trodat 4912","Tamponcini di ricambio Trodat 4912",2,521,,FALSO,FALSO,"SMR","N010",,
