"ID","Vessel","Material","Cylinder Capacity","Bundle Tipe/Number of cylinders","W. Pressure","Markets","GAS","Valve type of bundle","Material valve of bundle","Deep tube","Material deep tube","Photo","Price"
"CBU092","Bundle","Steel",40,12,"200 bar","Industrial","Oxygen (O2)","1 x higt flow residual pressure","Brass","Not","---","12_bianco_9010.jpg","1450"
"CBU093","Bundle","Steel",40,12,"200 bar","Medical","Oxygen (O2)","1 x higt flow residual pressure","Brass","Not","---","12_bianco_9010.jpg","1450"
"CBU094","Bundle","Steel",40,12,"200 bar","Pure","Oxygen (O2)","1 x higt flow residual pressure","Brass","Not","---","12_bianco_9010.jpg","1450"
"CBU095","Bundle","Steel",40,12,"200 bar","Food","Oxygen (O2)","1 x higt flow residual pressure","Brass","Not","---","12_bianco_9010.jpg","1450"
"CBU096","Bundle","Steel",50,12,"200 bar","Industrial","Oxygen (O2)","1 x higt flow residual pressure","Brass","Not","---","12_bianco_9010.jpg","1450"
"CBU097","Bundle","Steel",50,12,"200 bar","Medical","Oxygen (O2)","1 x higt flow residual pressure","Brass","Not","---","12_bianco_9010.jpg","1450"
"CBU098","Bundle","Steel",50,12,"200 bar","Pure","Oxygen (O2)","1 x higt flow residual pressure","Brass","Not","---","12_bianco_9010.jpg","1450"
"CBU099","Bundle","Steel",50,12,"200 bar","Food","Oxygen (O2)","1 x higt flow residual pressure","Brass","Not","---","12_bianco_9010.jpg","1450"
"CBU100","Bundle","Steel",40,12,"200 bar","Industrial","Nitrogen (N2)","1 x higt flow residual pressure","Brass","Not","---","12_nero.jpg","1450"
"CBU101","Bundle","Steel",40,12,"200 bar","Medical","Nitrogen (N2)","1 x higt flow residual pressure","Brass","Not","---","12_nero.jpg","1450"
"CBU102","Bundle","Steel",40,12,"200 bar","Pure","Nitrogen (N2)","1 x higt flow residual pressure","Brass","Not","---","12_nero.jpg","1450"
"CBU103","Bundle","Steel",40,12,"200 bar","Food","Nitrogen (N2)","1 x higt flow residual pressure","Brass","Not","---","12_nero.jpg","1450"
"CBU104","Bundle","Steel",50,12,"200 bar","Industrial","Nitrogen (N2)","1 x higt flow residual pressure","Brass","Not","---","12_nero.jpg","1450"
"CBU105","Bundle","Steel",50,12,"200 bar","Medical","Nitrogen (N2)","1 x higt flow residual pressure","Brass","Not","---","12_nero.jpg","1450"
"CBU106","Bundle","Steel",50,12,"200 bar","Pure","Nitrogen (N2)","1 x higt flow residual pressure","Brass","Not","---","12_nero.jpg","1450"
"CBU107","Bundle","Steel",50,12,"200 bar","Food","Nitrogen (N2)","1 x higt flow residual pressure","Brass","Not","---","12_nero.jpg","1450"
"CBU108","Bundle","Steel",40,12,"200 bar","Industrial","Argon (Ar)","1 x higt flow residual pressure","Brass","Not","---","12_verde_6001.jpg","1450"
"CBU109","Bundle","Steel",40,12,"200 bar","Pure","Argon (Ar)","1 x higt flow residual pressure","Brass","Not","---","12_verde_6001.jpg","1450"
"CBU110","Bundle","Steel",40,12,"200 bar","Food","Argon (Ar)","1 x higt flow residual pressure","Brass","Not","---","12_verde_6001.jpg","1450"
"CBU111","Bundle","Steel",50,12,"200 bar","Industrial","Argon (Ar)","1 x higt flow residual pressure","Brass","Not","---","12_verde_6001.jpg","1450"
"CBU112","Bundle","Steel",50,12,"200 bar","Pure","Argon (Ar)","1 x higt flow residual pressure","Brass","Not","---","12_verde_6001.jpg","1450"
"CBU113","Bundle","Steel",50,12,"200 bar","Food","Argon (Ar)","1 x higt flow residual pressure","Brass","Not","---","12_verde_6001.jpg","1450"
"CBU114","Bundle","Steel",40,12,"200 bar","Industrial","Helium (He)","1 x higt flow residual pressure","Brass","Not","---","12_marrone_8008.jpg","1450"
"CBU115","Bundle","Steel",40,12,"200 bar","Pure","Helium (He)","1 x higt flow residual pressure","Brass","Not","---","12_marrone_8008.jpg","1450"
"CBU116","Bundle","Steel",40,12,"200 bar","Food","Helium (He)","1 x higt flow residual pressure","Brass","Not","---","12_marrone_8008.jpg","1450"
"CBU117","Bundle","Steel",50,12,"200 bar","Industrial","Helium (He)","1 x higt flow residual pressure","Brass","Not","---","12_marrone_8008.jpg","1450"
"CBU118","Bundle","Steel",50,12,"200 bar","Pure","Helium (He)","1 x higt flow residual pressure","Brass","Not","---","12_marrone_8008.jpg","1450"
"CBU119","Bundle","Steel",50,12,"200 bar","Food","Helium (He)","1 x higt flow residual pressure","Brass","Not","---","12_marrone_8008.jpg","1450"
"CBU120","Bundle","Steel",40,12,"200 bar","Industrial","Hidrogen (H2)","1 x higt flow residual pressure","Brass","Not","---","12_rosso_3000.jpg","1450"
"CBU121","Bundle","Steel",40,12,"200 bar","Pure","Hidrogen (H2)","1 x higt flow residual pressure","Brass","Not","---","12_rosso_3000.jpg","1450"
"CBU122","Bundle","Steel",40,12,"200 bar","Food","Hidrogen (H2)","1 x higt flow residual pressure","Brass","Not","---","12_rosso_3000.jpg","1450"
"CBU123","Bundle","Steel",50,12,"200 bar","Industrial","Hidrogen (H2)","1 x higt flow residual pressure","Brass","Not","---","12_rosso_3000.jpg","1450"
"CBU124","Bundle","Steel",50,12,"200 bar","Pure","Hidrogen (H2)","1 x higt flow residual pressure","Brass","Not","---","12_rosso_3000.jpg","1450"
"CBU125","Bundle","Steel",50,12,"200 bar","Food","Hidrogen (H2)","1 x higt flow residual pressure","Brass","Not","---","12_rosso_3000.jpg","1450"
"CBU126","Bundle","Steel",40,12,"200 bar","Industrial","Air","1 x higt flow residual pressure","Brass","Yes","Aluminium","12_verde_6018.jpg","1450"
"CBU127","Bundle","Steel",40,12,"200 bar","Medical","Medical Air","1 x higt flow residual pressure","Brass","Yes","Aluminium","12_Mix_Bianco-Nero.jpg","1450"
"CBU128","Bundle","Steel",40,12,"200 bar","Pure","Air","1 x higt flow residual pressure","Brass","Yes","Aluminium","12_verde_6018.jpg","1450"
"CBU129","Bundle","Steel",50,12,"200 bar","Industrial","Air","1 x higt flow residual pressure","Brass","Yes","Aluminium","12_verde_6018.jpg","1450"
"CBU130","Bundle","Steel",50,12,"200 bar","Medical","Medical Air","1 x higt flow residual pressure","Brass","Yes","Aluminium","12_Mix_Bianco-Nero.jpg","1450"
"CBU131","Bundle","Steel",50,12,"200 bar","Pure","Air","1 x higt flow residual pressure","Brass","Yes","Aluminium","12_verde_6018.jpg","1450"
"CBU132","Bundle","Steel",40,12,"200 bar","Industrial","Inert Mixture","1 x higt flow residual pressure","Brass","Yes","Aluminium","12_verde_6018.jpg","1450"
"CBU133","Bundle","Steel",40,12,"200 bar","Medical","Inert Mixture","1 x higt flow residual pressure","Brass","Yes","Aluminium","12_verde_6018.jpg","1450"
"CBU134","Bundle","Steel",40,12,"200 bar","Pure","Inert Mixture","1 x higt flow residual pressure","Brass","Yes","Aluminium","12_verde_6018.jpg","1450"
"CBU135","Bundle","Steel",40,12,"200 bar","Food","Inert Mixture","1 x higt flow residual pressure","Brass","Yes","Aluminium","12_verde_6018.jpg","1450"
"CBU136","Bundle","Steel",50,12,"200 bar","Industrial","Inert Mixture","1 x higt flow residual pressure","Brass","Yes","Aluminium","12_verde_6018.jpg","1450"
"CBU137","Bundle","Steel",50,12,"200 bar","Medical","Inert Mixture","1 x higt flow residual pressure","Brass","Yes","Aluminium","12_verde_6018.jpg","1450"
"CBU138","Bundle","Steel",50,12,"200 bar","Pure","Inert Mixture","1 x higt flow residual pressure","Brass","Yes","Aluminium","12_verde_6018.jpg","1450"
"CBU139","Bundle","Steel",50,12,"200 bar","Food","Inert Mixture","1 x higt flow residual pressure","Brass","Yes","Aluminium","12_verde_6018.jpg","1450"
"CBU140","Bundle","Steel",40,12,"200 bar","Industrial","Flammable Mixture","1 x higt flow residual pressure","Brass","Yes","Aluminium","12_rosso_3000.jpg","1450"
"CBU141","Bundle","Steel",40,12,"200 bar","Pure","Flammable Mixture","1 x higt flow residual pressure","Brass","Yes","Aluminium","12_rosso_3000.jpg","1450"
"CBU142","Bundle","Steel",50,12,"200 bar","Industrial","Flammable Mixture","1 x higt flow residual pressure","Brass","Yes","Aluminium","12_rosso_3000.jpg","1450"
"CBU143","Bundle","Steel",50,12,"200 bar","Pure","Flammable Mixture","1 x higt flow residual pressure","Brass","Yes","Aluminium","12_rosso_3000.jpg","1450"
"CBU144","Bundle","Steel",40,12,"200 bar","Industrial","Hidrogen Mixture (H2-Mix)","1 x higt flow residual pressure","Brass","Yes","Aluminium","12_rosso_3000.jpg","1450"
"CBU145","Bundle","Steel",40,12,"200 bar","Pure","Hidrogen Mixture (H2-Mix)","1 x higt flow residual pressure","Brass","Yes","Aluminium","12_rosso_3000.jpg","1450"
"CBU146","Bundle","Steel",50,12,"200 bar","Industrial","Hidrogen Mixture (H2-Mix)","1 x higt flow residual pressure","Brass","Yes","Aluminium","12_rosso_3000.jpg","1450"
"CBU147","Bundle","Steel",50,12,"200 bar","Pure","Hidrogen Mixture (H2-Mix)","1 x higt flow residual pressure","Brass","Yes","Aluminium","12_rosso_3000.jpg","1450"
"CBU148","Bundle","Steel",40,12,"200 bar","Industrial","Oxidant Mixture","1 x higt flow residual pressure","Brass","Yes","Aluminium","12_azzurro_5012.jpg","1450"
"CBU149","Bundle","Steel",40,12,"200 bar","Medical","Oxidant Mixture","1 x higt flow residual pressure","Brass","Yes","Aluminium","12_azzurro_5012.jpg","1450"
"CBU150","Bundle","Steel",40,12,"200 bar","Pure","Oxidant Mixture","1 x higt flow residual pressure","Brass","Yes","Aluminium","12_azzurro_5012.jpg","1450"
"CBU151","Bundle","Steel",40,12,"200 bar","Food","Oxidant Mixture","1 x higt flow residual pressure","Brass","Yes","Aluminium","12_azzurro_5012.jpg","1450"
"CBU152","Bundle","Steel",50,12,"200 bar","Industrial","Oxidant Mixture","1 x higt flow residual pressure","Brass","Yes","Aluminium","12_azzurro_5012.jpg","1450"
"CBU153","Bundle","Steel",50,12,"200 bar","Medical","Oxidant Mixture","1 x higt flow residual pressure","Brass","Yes","Aluminium","12_azzurro_5012.jpg","1450"
"CBU154","Bundle","Steel",50,12,"200 bar","Pure","Oxidant Mixture","1 x higt flow residual pressure","Brass","Yes","Aluminium","12_azzurro_5012.jpg","1450"
"CBU155","Bundle","Steel",50,12,"200 bar","Food","Oxidant Mixture","1 x higt flow residual pressure","Brass","Yes","Aluminium","12_azzurro_5012.jpg","1450"
"CBU156","Bundle","Steel",40,12,"---","Industrial","Carbon Dioxide (CO2)","1 x higt flow residual pressure","Brass","Not","---","12_grigio_7037.jpg","1450"
"CBU157","Bundle","Steel",40,12,"---","Medical","Carbon Dioxide (CO2)","1 x higt flow residual pressure","Brass","Not","---","12_grigio_7037.jpg","1450"
"CBU158","Bundle","Steel",40,12,"---","Pure","Carbon Dioxide (CO2)","1 x higt flow residual pressure","Brass","Not","---","12_grigio_7037.jpg","1450"
"CBU159","Bundle","Steel",40,12,"---","Food","Carbon Dioxide (CO2)","1 x higt flow residual pressure","Brass","Not","---","12_grigio_7037.jpg","1450"
"CBU160","Bundle","Steel",50,12,"---","Industrial","Carbon Dioxide (CO2)","1 x higt flow residual pressure","Brass","Not","---","12_grigio_7037.jpg","1450"
"CBU161","Bundle","Steel",50,12,"---","Medical","Carbon Dioxide (CO2)","1 x higt flow residual pressure","Brass","Not","---","12_grigio_7037.jpg","1450"
"CBU162","Bundle","Steel",50,12,"---","Pure","Carbon Dioxide (CO2)","1 x higt flow residual pressure","Brass","Not","---","12_grigio_7037.jpg","1450"
"CBU163","Bundle","Steel",50,12,"---","Food","Carbon Dioxide (CO2)","1 x higt flow residual pressure","Brass","Not","---","12_grigio_7037.jpg","1450"
"CBU164","Bundle","Steel",40,12,"---","Industrial","Carbon Dioxide (CO2)","1 x higt flow residual pressure","Brass","Yes","Aluminium","12_grigio_7037.jpg","1450"
"CBU165","Bundle","Steel",40,12,"---","Medical","Carbon Dioxide (CO2)","1 x higt flow residual pressure","Brass","Yes","Aluminium","12_grigio_7037.jpg","1450"
"CBU166","Bundle","Steel",40,12,"---","Pure","Carbon Dioxide (CO2)","1 x higt flow residual pressure","Brass","Yes","Aluminium","12_grigio_7037.jpg","1450"
"CBU167","Bundle","Steel",40,12,"---","Food","Carbon Dioxide (CO2)","1 x higt flow residual pressure","Brass","Yes","Aluminium","12_grigio_7037.jpg","1450"
"CBU168","Bundle","Steel",50,12,"---","Industrial","Carbon Dioxide (CO2)","1 x higt flow residual pressure","Brass","Yes","Aluminium","12_grigio_7037.jpg","1450"
"CBU169","Bundle","Steel",50,12,"---","Medical","Carbon Dioxide (CO2)","1 x higt flow residual pressure","Brass","Yes","Aluminium","12_grigio_7037.jpg","1450"
