"ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo","Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
"MU044","Italy","Supporti e accessori PC","Accessori per PC","Confezione di salviette bagnate per lo schermo del PC","Confezione di salviette bagnate per lo schermo del PC",,"1.81",FALSO,FALSO,"SMR","N012",,
"MU045","Italy","Supporti e accessori PC","Accessori per PC","Bomboletta spray antipolvere di aria","Bomboletta spray antipolvere di aria",1,"4.62",FALSO,FALSO,"SMR","N012",,
"MU046","Italy","Supporti e accessori PC","Accessori per PC","Braccio porta monitor LCD","Braccio porta monitor LCD",1,"32.56",FALSO,FALSO,"SMR","N012",,
"MU047","Italy","Supporti e accessori PC","Accessori per PC","Hard disk portatile 320 GB","Hard disk portatile 320 GB",1,"62.72",FALSO,FALSO,"SMR","N012",,
"MU048","Italy","Supporti e accessori PC","Accessori per PC","Chiavetta USB 2 GB","Chiavetta USB 2 GB",1,"6.90",FALSO,FALSO,"SMR","N012",,
"MU049","Italy","Supporti e accessori PC","Accessori per PC","Mouse wireless","Mouse wireless",1,"19.27",FALSO,FALSO,"SMR","N012",,
"MU050","Italy","Supporti e accessori PC","Accessori per PC","Tastiera a filo","Tastiera a filo",1,"9.22",FALSO,FALSO,"SMR","N012",,
"MU051","Italy","Supporti e accessori PC","Accessori per PC","Tastiera e mouse wireless","Tastiera e mouse wireless",1,"27.85",FALSO,FALSO,"SMR","N012",,
"MU052","Italy","Supporti e accessori PC","Accessori per PC","Mouse USB con filo","Mouse USB con filo",1,"4.56",FALSO,FALSO,"SMR","N012",,
"MU053","Italy","Supporti e accessori PC","Accessori per PC","Borsa per notebook fino a 17""","Borsa per notebook fino a 17""",1,"23.32",FALSO,FALSO,"SMR","N012",,
"MU054","Italy","Supporti e accessori PC","CD","CD-R registrabile 52X Imation 700Mb/80min.","CD-R registrabile 52X Imation 700Mb/80min.",1,"0.52",FALSO,FALSO,"SMR","N012",,
"MU055","Italy","Supporti e accessori PC","CD","CD-RW riscrivibile 1X-4X Imation 700Mb/80min.","CD-RW riscrivibile 1X-4X Imation 700Mb/80min.",1,"0.68",FALSO,FALSO,"SMR","N012",,
"MU056","Italy","Supporti e accessori PC","CD","Cd R Leomat spindle","Cd R Leomat spindle 50pz",50,"21.43",FALSO,FALSO,"SMR","N012",,
"MU057","Italy","Supporti e accessori PC","CD","Cd R Leomat spindle","Cd R Leomat spindle 100pz",100,"39.25",FALSO,FALSO,"SMR","N012",,
"MU058","Italy","Supporti e accessori PC","CD","Cd R Imation spindle","Cd R Imation spindle 50pz",50,"20.85",FALSO,FALSO,"SMR","N012",,
"MU059","Italy","Supporti e accessori PC","CD","Cd R Imation spindle","Cd R Imation spindle 100pz",100,"41.63",FALSO,FALSO,"SMR","N012",,
"MU060","Italy","Supporti e accessori PC","CD","Custodia universale per CD e DVD","Custodia universale per CD e DVD",10,"2.31",FALSO,FALSO,"SMR","N012",,
