"ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo","Photo",,"Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
"CBP052","Italy","Carta, buste","Blocchi, quaderni","Blocco A4 a quadretti 5mm","Blocco A4 a quadretti 5mm",5,"4.63","Blocco-A4-a-quadretti.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP052","Italy","Penne, accessori","Penne sfera","Penna a sfera G2 scatto Pilot Blu (confezione da 12 pezzi)","Penna a sfera G2 scatto Pilot Blu",12,"11.70","Penna-a-sfera-G2-scatto-Pilot.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP053","Italy","Carta, buste","Blocchi, quaderni","Blocco A5 a quadretti 5mm","Blocco A5 a quadretti 5mm",5,"2.57","Blocco-A5-a-quadretti.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP053","Italy","Penne, accessori","Penne sfera","Penna a sfera G2 scatto Pilot Rosso (confezione da 12 pezzi)","Penna a sfera G2 scatto Pilot Rosso",12,"11.70","Penna-a-sfera-G2-scatto-Pilot.jpg",,FALSO,VERO,"SMR","N010",,
"CBP054","Italy","Carta, buste","Blocchi, quaderni","Quaderno A4 spirale a quadretti","Quaderno A4 spirale a quadretti",10,"9.50","Quaderno-A4-spirale-a-quadretti.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP054","Italy","Penne, accessori","Penne sfera","Penna a sfera G2 scatto Pilot Nero (confezione da 12 pezzi)","Penna a sfera G2 scatto Pilot Nero",12,"11.70","Penna-a-sfera-G2-scatto-Pilot.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP055","Italy","Carta, buste","Blocchi, quaderni","Blocco A4 bianco","Blocco A4 bianco",5,"4.90","Blocco-A4-bianco.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP056","Italy","Carta, buste","Blocchi, quaderni","Blocco A4 a righe","Blocco A4 a righe",5,"4.63","Blocco-A4-a-righe.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP056","Italy","Penne, accessori","Penne sfera","Penna sfera Pilot Extra broad nero","Penna sfera Pilot Extra broad nero",12,"10.32","Penna sfera Pilot Extra broad nero.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP057","Italy","Carta, buste","Blocchi, quaderni","Quaderno A4 spirale a righe","Quaderno A4 spirale a righe",10,"9.50","Quaderno-A4-spirale-a-righe.jpg",,FALSO,FALSO,"SMR","N010",,
