"ID","Country","Categoria","Settore","DescrEn","Prodotto","Confezione","Prezzo","Photo","Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
"AU0090","Italy","Archivio, organizzazione","Cartelle sospese","Cartella sospesa cassetto U 39.5 cm","Cartella sospesa cassetto U 39.5 cm",50,"17.50","Cartella-sospesa-cassetto_armadio.jpg",VERO,FALSO,"SMR","N010",,
"AU0091","Italy","Archivio, organizzazione","Cartelline","Cartella manilla semplice senza lembi 190 gr rosso","Cartella manilla semplice senza lembi 190 gr rosso",50,"5.63","Cartella-manilla-semplice-senza-lembi.jpg",VERO,FALSO,"SMR","N010",,
"AU0092","Italy","Archivio, organizzazione","Cartelline","Cartella manilla semplice senza lembi 190 gr azzurrro","Cartella manilla semplice senza lembi 190 gr azzurrro",50,"5.63","Cartella-manilla-semplice-senza-lembi.jpg",VERO,FALSO,"SMR","N010",,
"AU0093","Italy","Archivio, organizzazione","Cartelline","Cartella manilla semplice senza lembi 190 gr verde","Cartella manilla semplice senza lembi 190 gr verde",50,"5.63","Cartella-manilla-semplice-senza-lembi.jpg",VERO,FALSO,"SMR","N010",,
"AU0094","Italy","Archivio, organizzazione","Cartelline","Cartella manilla semplice senza lembi 190 gr giallo","Cartella manilla semplice senza lembi 190 gr giallo",50,"5.63","Cartella-manilla-semplice-senza-lembi.jpg",VERO,FALSO,"SMR","N010",,
"AU0095","Italy","Archivio, organizzazione","Cartelline","Cartella manilla tre lembi rosso","Cartella manilla tre lembi rosso",50,"3.80","Cartella-manilla-tre-lembi.jpg",VERO,FALSO,"SMR","N010",,
"AU0096","Italy","Archivio, organizzazione","Cartelline","Cartella manilla tre lembi verde","Cartella manilla tre lembi verde",50,"3.80","Cartella-manilla-tre-lembi.jpg",VERO,FALSO,"SMR","N010",,
"AU0097","Italy","Archivio, organizzazione","Cartelline","Cartella manilla tre lembi giallo","Cartella manilla tre lembi giallo",50,"3.80","Cartella-manilla-tre-lembi.jpg",VERO,FALSO,"SMR","N010",,
"AU0098","Italy","Archivio, organizzazione","Cartelline","Cartella manilla tre lembi azzurro","Cartella manilla tre lembi azzurro",50,"3.80","Cartella-manilla-tre-lembi.jpg",VERO,FALSO,"SMR","N010",,
"AU0099","Italy","Archivio, organizzazione","Cartelline","Cartellina presentazione con molla dorso 8mm rosso","Cartellina presentazione con molla dorso 8mm rosso",5,"2.55","Cartellina-presentazione-con-molla-dorso-8mm.jpg",VERO,FALSO,"SMR","N010",,
"AU0100","Italy","Archivio, organizzazione","Cartelline","Cartellina presentazione con molla dorso 8mm verde","Cartellina presentazione con molla dorso 8mm verde",5,"2.55","Cartellina-presentazione-con-molla-dorso-8mm.jpg",VERO,FALSO,"SMR","N010",,
"AU0101","Italy","Archivio, organizzazione","Cartelline","Cartellina presentazione con molla dorso 8mm giallo","Cartellina presentazione con molla dorso 8mm giallo",5,"2.55","Cartellina-presentazione-con-molla-dorso-8mm.jpg",VERO,FALSO,"SMR","N010",,
"AU0102","Italy","Archivio, organizzazione","Cartelline","Cartellina presentazione con molla dorso 8mm azzurro","Cartellina presentazione con molla dorso 8mm azzurro",5,"2.55","Cartellina-presentazione-con-molla-dorso-8mm.jpg",VERO,FALSO,"SMR","N010",,
"AU0103","Italy","Archivio, organizzazione","Cartelline","Cartellina presentazione con molla dorso 8mm bianco","Cartellina presentazione con molla dorso 8mm bianco",5,"2.55","Cartellina-presentazione-con-molla-dorso-8mm.jpg",VERO,FALSO,"SMR","N010",,
"AU0104","Italy","Archivio, organizzazione","Cartelline","Cartellina full con tasca Acco rosso","Cartellina full con tasca Acco rosso",5,"1.35","Cartellina-full-con-tasca-Acco.jpg",VERO,FALSO,"SMR","N010",,
"AU0105","Italy","Archivio, organizzazione","Cartelline","Cartellina full con tasca Acco verde","Cartellina full con tasca Acco verde",5,"1.35","Cartellina-full-con-tasca-Acco.jpg",VERO,FALSO,"SMR","N010",,
"AU0106","Italy","Archivio, organizzazione","Cartelline","Cartellina full con tasca Acco giallo","Cartellina full con tasca Acco giallo",5,"1.35","Cartellina-full-con-tasca-Acco.jpg",VERO,FALSO,"SMR","N010",,
"AU0107","Italy","Archivio, organizzazione","Cartelline","Cartellina full con tasca Acco azzurro","Cartellina full con tasca Acco azzurro",5,"1.35","Cartellina-full-con-tasca-Acco.jpg",VERO,FALSO,"SMR","N010",,
"AU0108","Italy","Archivio, organizzazione","Cartelline","Cartellina full con tasca Acco trasparente","Cartellina full con tasca Acco trasparente",5,"1.35","Cartellina-full-con-tasca-Acco.jpg",VERO,FALSO,"SMR","N010",,
"AU0109","Italy","Archivio, organizzazione","Cartelline","Cartella con elastico a 3 lembi blu","Cartella con elastico a 3 lembi blu",10,"6.34","Cartella-con-elastico-a-3-lembi.jpg",VERO,FALSO,"SMR","N010",,
"AU0110","Italy","Archivio, organizzazione","Cartelline","Cartella con elastico a 3 lembi rosso","Cartella con elastico a 3 lembi rosso",10,"6.34","Cartella-con-elastico-a-3-lembi.jpg",VERO,FALSO,"SMR","N010",,
"AU0111","Italy","Archivio, organizzazione","Cartelline","Cartella con elastico a 3 lembi verde","Cartella con elastico a 3 lembi verde",10,"6.34","Cartella-con-elastico-a-3-lembi.jpg",VERO,FALSO,"SMR","N010",,
"AU0112","Italy","Archivio, organizzazione","Cartelline","Cartella con elastico a 3 lembi giallo","Cartella con elastico a 3 lembi giallo",10,"6.34","Cartella-con-elastico-a-3-lembi.jpg",VERO,FALSO,"SMR","N010",,
"AU0113","Italy","Archivio, organizzazione","Cartelline","Cartellina blu 21x30 con fermaglio","Cartellina blu 21x30 con fermaglio",10,"1.80","Cartellina-21x30-con-fermaglio.jpg",VERO,FALSO,"SMR","N010",,
"AU0114","Italy","Archivio, organizzazione","Cartelline","Cartellina rossa 21x30 con fermaglio","Cartellina rossa 21x30 con fermaglio",10,"1.80","Cartellina-21x30-con-fermaglio.jpg",VERO,FALSO,"SMR","N010",,
"AU0115","Italy","Archivio, organizzazione","Cartelline","Cartellina verde 21x30 con fermaglio","Cartellina verde 21x30 con fermaglio",10,"1.80","Cartellina-21x30-con-fermaglio.jpg",VERO,FALSO,"SMR","N010",,
"AU0116","Italy","Archivio, organizzazione","Cartelline","Cartellina gialla 21x30 con fermaglio","Cartellina gialla 21x30 con fermaglio",10,"1.80","Cartellina-21x30-con-fermaglio.jpg",VERO,FALSO,"SMR","N010",,
"AU0117","Italy","Archivio, organizzazione","Cartelline","Cartellina a busta con bottone di colori assortiti","Cartellina a busta con bottone di colori assortiti",6,"3.60","Cartellina-a-busta-con-bottone_colori-assortiti.jpg",VERO,FALSO,"SMR","N010",,
"AU0118","Italy","Archivio, organizzazione","Cartelline","Cartellina con finestra Blasetti azzurro","Cartellina con finestra Blasetti azzurro",50,"4.50","Cartellina-con-finestra-Blasetti.jpg",VERO,FALSO,"SMR","N010",,
"AU0119","Italy","Archivio, organizzazione","Cartelline","Cartellina con finestra Blasetti verde","Cartellina con finestra Blasetti verde",50,"4.50","Cartellina-con-finestra-Blasetti.jpg",VERO,FALSO,"SMR","N010",,
"AU0120","Italy","Archivio, organizzazione","Cartelline","Cartellina con finestra Blasetti giallo","Cartellina con finestra Blasetti giallo",50,"4.50","Cartellina-con-finestra-Blasetti.jpg",VERO,FALSO,"SMR","N010",,
"AU0121","Italy","Archivio, organizzazione","Cartelline","Cartellina con finestra Blasetti rosa","Cartellina con finestra Blasetti rosa",50,"4.50","Cartellina-con-finestra-Blasetti.jpg",VERO,FALSO,"SMR","N010",,
"AU0122","Italy","Archivio, organizzazione","Cassettiere","Cassettiera Leitz 4 cassetti","Cassettiera Leitz 4 cassetti",1,"33.97","Cassettiera-Leitz-4-cassetti.jpg",VERO,FALSO,"SMR","N010",,
"AU0123","Italy","Archivio, organizzazione","Espositori","Espositore da banco 1/3 di A4","Espositore da banco 1/3 di A4",1,"2.65","Espositore-da-banco-1_3-di-A4.jpg",VERO,FALSO,"SMR","N010",,
