"Object","ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo",,"Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
13776,"EC047","Italy","Etichette, collari","Etichette per tubazioni","Etichette grandi per tubazioni di acetilene (20 fogli da 4 pezzi ciascuno)","Etichette grandi per tubazioni di acetilene",,"32.80",,FALSO,FALSO,"SMR","N011",,
13777,"EC048","Italy","Etichette, collari","Etichette per tubazioni","Etichette piccole per tubazioni di ammoniaca (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di ammoniaca",,"1.00",,FALSO,FALSO,"SMR","N011",,
13778,"EC049","Italy","Etichette, collari","Etichette per tubazioni","Etichette grandi per tubazioni di ammoniaca (20 fogli da 4 pezzi ciascuno)","Etichette grandi per tubazioni di ammoniaca",,"32.80",,FALSO,FALSO,"SMR","N011",,
13779,"EC050","Italy","Etichette, collari","Etichette per tubazioni","Etichette piccole per tubazioni di anidride carbonica industriale (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di CO2 industriale",,"1.00",,FALSO,FALSO,"SMR","N011",,
13780,"EC051","Italy","Etichette, collari","Etichette per tubazioni","Etichette grandi per tubazioni di anidride carbonica industriale (20 fogli da 4 pezzi ciascuno)","Etichette grandi per tubazioni di CO2 industriale",,"32.80",,FALSO,FALSO,"SMR","N011",,
13781,"EC052","Italy","Etichette, collari","Etichette per tubazioni","Etichette piccole per tubazioni di argon (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di argon",,"1.00",,FALSO,FALSO,"SMR","N011",,
13782,"EC053","Italy","Etichette, collari","Etichette per tubazioni","Etichette grandi per tubazioni di argon (20 fogli da 4 pezzi ciascuno)","Etichette grandi per tubazioni di argon",,"32.80",,FALSO,FALSO,"SMR","N011",,
13783,"EC054","Italy","Etichette, collari","Etichette per tubazioni","Etichette piccole per tubazioni di aria industriale (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di aria industriale",,"1.00",,FALSO,FALSO,"SMR","N011",,
13784,"EC055","Italy","Etichette, collari","Etichette per tubazioni","Etichette grandi per tubazioni di aria industriale (20 fogli da 4 pezzi ciascuno)","Etichette grandi per tubazioni di aria industriale",,"32.80",,FALSO,FALSO,"SMR","N011",,
13785,"EC056","Italy","Etichette, collari","Etichette per tubazioni","Etichette piccole per tubazioni di azoto (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di azoto",,"1.00",,FALSO,FALSO,"SMR","N011",,
13786,"EC057","Italy","Etichette, collari","Etichette per tubazioni","Etichette grandi per tubazioni di azoto (20 fogli da 4 pezzi ciascuno)","Etichette grandi per tubazioni di azoto",,"32.80",,FALSO,FALSO,"SMR","N011",,
13787,"EC058","Italy","Etichette, collari","Etichette per tubazioni","Etichette piccole per tubazioni di elio (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di elio",,"1.00",,FALSO,FALSO,"SMR","N011",,
13788,"EC059","Italy","Etichette, collari","Etichette per tubazioni","Etichette grandi per tubazioni di elio (20 fogli da 4 pezzi ciascuno)","Etichette grandi per tubazioni di elio",,"32.80",,FALSO,FALSO,"SMR","N011",,
13789,"EC060","Italy","Etichette, collari","Etichette per tubazioni","Etichette piccole per tubazioni di idrogeno (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di idrogeno",,"1.00",,FALSO,FALSO,"SMR","N011",,
13790,"EC061","Italy","Etichette, collari","Etichette per tubazioni","Etichette grandi per tubazioni di idrogeno (20 fogli da 4 pezzi ciascuno)","Etichette grandi per tubazioni di idrogeno",,"32.80",,FALSO,FALSO,"SMR","N011",,
13791,"EC062","Italy","Etichette, collari","Etichette per tubazioni","Etichette piccole per tubazioni di miscela corrosiva (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di miscela corrosiva",,"1.00",,FALSO,FALSO,"SMR","N011",,
13792,"EC063","Italy","Etichette, collari","Etichette per tubazioni","Etichette grandi per tubazioni di miscela corrosiva (20 fogli da 4 pezzi ciascuno)","Etichette grandi per tubazioni di miscela corrosiva",,"32.80",,FALSO,FALSO,"SMR","N011",,
13793,"EC064","Italy","Etichette, collari","Etichette per tubazioni","Etichette piccole per tubazioni di miscela inerte (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di miscela inerte",,"1.00",,FALSO,FALSO,"SMR","N011",,
13794,"EC065","Italy","Etichette, collari","Etichette per tubazioni","Etichette grandi per tubazioni di miscela inerte (20 fogli da 4 pezzi ciascuno)","Etichette grandi per tubazioni di miscela inerte",,"32.80",,FALSO,FALSO,"SMR","N011",,
13795,"EC066","Italy","Etichette, collari","Etichette per tubazioni","Etichette piccole per tubazioni di miscela infiammabile (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di mix. infiammabile",,"1.00",,FALSO,FALSO,"SMR","N011",,
13796,"EC067","Italy","Etichette, collari","Etichette per tubazioni","Etichette grandi per tubazioni di miscela infiammabile (20 fogli da 4 pezzi ciascuno)","Etichette grandi per tubazioni di mix. infiammabile",,"32.80",,FALSO,FALSO,"SMR","N011",,
13797,"EC068","Italy","Etichette, collari","Etichette per tubazioni","Etichette piccole per tubazioni di miscela ossidante (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di miscela ossidante",,"1.00",,FALSO,FALSO,"SMR","N011",,
13798,"EC069","Italy","Etichette, collari","Etichette per tubazioni","Etichette grandi per tubazioni di miscela ossidante (20 fogli da 4 pezzi ciascuno)","Etichette grandi per tubazioni di miscela ossidante",,"32.80",,FALSO,FALSO,"SMR","N011",,
13799,"EC070","Italy","Etichette, collari","Etichette per tubazioni","Etichette piccole per tubazioni di miscela tossica (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di miscela tossica",,"1.00",,FALSO,FALSO,"SMR","N011",,
13800,"EC071","Italy","Etichette, collari","Etichette per tubazioni","Etichette grandi per tubazioni di miscela tossica (20 fogli da 4 pezzi ciascuno)","Etichette grandi per tubazioni di miscela tossica",,"32.80",,FALSO,FALSO,"SMR","N011",,
13801,"EC072","Italy","Etichette, collari","Etichette per tubazioni","Etichette piccole per tubazioni di protossido di azoto industriale (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di N2O industriale",,"1.00",,FALSO,FALSO,"SMR","N011",,
13802,"EC073","Italy","Etichette, collari","Etichette per tubazioni","Etichette grandi per tubazioni di protossido di azoto industriale (20 fogli da 4 pezzi ciascuno)","Etichette grandi per tubazioni di N2O industriale",,"32.80",,FALSO,FALSO,"SMR","N011",,
13804,"EC075","Italy","Etichette ADR bombole","ADR bombole gas puri","Etichette ADR per bombole di Azocarb 20, 30 e IP","Etichette ADR per Azocarb 20, 30 e IP",,"0.08",,FALSO,FALSO,"SMR","N011",,
13805,"EC076","Italy","Etichette ADR bombole","ADR bombole gas puri","Etichette ADR per bombole di Argomet 5","Etichette ADR per Argomet 5",,"0.08",,FALSO,FALSO,"SMR","N011",,
13806,"EC077","Italy","Etichette ADR bombole","ADR bombole gas puri","Etichette ADR per bombole di Argoidro 2","Etichette ADR per Argoidro 2",,"0.08",,FALSO,FALSO,"SMR","N011",,
13808,"EC079","Italy","Etichette ADR bombole","ADR bombole gas puri","Etichette ADR per bombole di Fruttasol","Etichette ADR per Fruttasol",,"0.08",,FALSO,FALSO,"SMR","N011",,
13809,"EC080","Italy","Etichette ADR bombole","ADR bombole gas puri","Etichette ADR per bombole di aria purissima e ultrapura","Etichette ADR per aria purissima e ultrapura",,"0.08",,FALSO,FALSO,"SMR","N011",,
13811,"EC082","Italy","Etichette ADR bombole","ADR bombole gas puri","Etichette ADR per bombole di Argomet 10","Etichette ADR per Argomet 10",,"0.08",,FALSO,FALSO,"SMR","N011",,
13815,"EC086","Italy","Etichette ADR bombole","ADR bombole gas puri","Etichette ADR per bombole di Endosol e Azoxicarb","Etichette ADR per Endosol e Azoxicarb",,"0.08",,FALSO,FALSO,"SMR","N011",,
13816,"EC087","Italy","Etichette ADR bombole","ADR bombole gas puri","Etichette ADR per bombole di Azoidro puro 7, 10, 15, 20 e Biosol","Etichette ADR per Azoidro puro 7, 10, 15, 20 e Biosol",,"0.08",,FALSO,FALSO,"SMR","N011",,
13818,"EC089","Italy","Etichette ADR bombole","ADR bombole gas puri","Etichette ADR per bombole di Clioxicarb e Clidoman","Etichette ADR per Clioxicarb e Clidoman",,"0.08",,FALSO,FALSO,"SMR","N011",,
13820,"EC091","Italy","Etichette ADR bombole","ADR bombole gas puri","Etichette ADR per bombole di Laser 1, 2, 3 e 4","Etichette ADR per Laser 1, 2, 3 e 4",,"0.08",,FALSO,FALSO,"SMR","N011",,
13822,"EC093","Italy","Etichette ADR bombole","ADR bombole gas puri","Etichette ADR per bombole di Argoidro 3, 4, 5 e 7","Etichette ADR per Argoidro 3, 4, 5 e 7",,"0.08",,FALSO,FALSO,"SMR","N011",,
13825,"EC096","Italy","Etichette ADR bombole","ADR bombole miscele","Etichette ADR per Algofrene","Etich. ADR per Algofrene",1,"0.05",,FALSO,FALSO,"SMR","N011",,
13826,"EC097","Italy","Etichette ADR bombole","ADR bombole miscele","Etichette ADR per Alisol 028 e 037","Etich. ADR per Alisol 028 e 037",1,"0.05",,FALSO,FALSO,"SMR","N011",,
