"Errors";"Object";"ID";"Country";"Vessel";"Vessel Material";"Capacity";"Diameter";"Pressure";"Markets";"GAS";"Body Color";"Shoulder color";"Cap Type";"Material";"PaintingType";"Valve Type";"Valve Material";"Thread gas outelet";"Norm";"Outlet Gas";"Deep tube";"Deep Tube Material";"Stamping";"Description Certificate";"Description";"Solvent";"Price";"Image"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL1913";"ITALY";"Cylinder";"Alloy";"40";"203";;"Food";"Carbon Dioxide (CO2)";"Blue RAL 5021";"Gray RAL 7037";"Tulip";"Steel";"Galvanized";"Residual (25E)";"Brass";"W 21,7 x 1/14""";"UNI 4406";"Standard (derived from the gas, intended use, country)";"Yes";"Alluminio";"2° A - 2° O";"2° A - 2° O";;;"481.00";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL1914";"ITALY";"Cylinder";"Alloy";"40";"229";;"Food";"Carbon Dioxide (CO2)";"Blue RAL 5021";"Gray RAL 7037";"Tulip";"Steel";"Galvanized";"Standard (25E)";"Brass";"W 21,7 x 1/14""";"UNI 4406";"Standard (derived from the gas, intended use, country)";"Yes";"Alluminio";"2° A - 2° O";"2° A - 2° O";;;"477.50";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL1915";"ITALY";"Cylinder";"Alloy";"40";"229";;"Food";"Carbon Dioxide (CO2)";"Blue RAL 5021";"Gray RAL 7037";"Tulip";"Steel";"Galvanized";"Residual (25E)";"Brass";"W 21,7 x 1/14""";"UNI 4406";"Standard (derived from the gas, intended use, country)";"Yes";"Alluminio";"2° A - 2° O";"2° A - 2° O";;;"481.00";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL1916";"ITALY";"Cylinder";"Steel";"50";"229";;"Industrial";"Carbon Dioxide (CO2)";"Gray RAL 7015";"Gray RAL 7037";"NO CAP";"NO CAP";"NO CAP";"NO VALVE";"NO VALVE";;;"NO VALVE";"Yes";"Alluminio";"2° A - 2° O";"2° A - 2° O";;;"157.00";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL1917";"ITALY";"Cylinder";"Steel";"50";"229";;"Food";"Carbon Dioxide (CO2)";"Blue RAL 5021";"Gray RAL 7037";"NO CAP";"NO CAP";"NO CAP";"NO VALVE";"NO VALVE";;;"NO VALVE";"Yes";"Alluminio";"2° A - 2° O";"2° A - 2° O";;;"157.00";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL1918";"ITALY";"Cylinder";"Steel";"50";"229";;"Pure";"Carbon Dioxide (CO2)";"Beige RAL 1001";"Gray RAL 7037";"NO CAP";"NO CAP";"NO CAP";"NO VALVE";"NO VALVE";;;"NO VALVE";"Yes";"Alluminio";"2° A - 2° O";"2° A - 2° O";;;"157.00";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL1996";"ITALY";"Cylinder";"Steel";"40";"203";;"Medical";"Carbon Dioxide (CO2)";"White RAL 9010";"Gray RAL 7037";"Tulip";"Steel";"Galvanized";"Standard (25E)";"Brass";"D 27 x 2";"ISO 5145 Gr.2";"Standard (derived from the gas, intended use, country)";"Yes";"Alluminio";"2° A - 2° O";"2° A - 2° O";;;"145.50";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL1997";"ITALY";"Cylinder";"Steel";"40";"203";;"Medical";"Carbon Dioxide (CO2)";"White RAL 9010";"Gray RAL 7037";"Tulip";"Steel";"Galvanized";"Residual (25E)";"Brass";"D 27 x 2";"ISO 5145 Gr.2";"Standard (derived from the gas, intended use, country)";"Yes";"Alluminio";"2° A - 2° O";"2° A - 2° O";;;"149.00";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL1998";"ITALY";"Cylinder";"Steel";"40";"203";;"Medical";"Carbon Dioxide (CO2)";"White RAL 9010";"Gray RAL 7037";"DIN closed";"Steel";"Galvanized";"Standard (25E)";"Brass";"D 27 x 2";"ISO 5145 Gr.2";"Standard (derived from the gas, intended use, country)";"Yes";"Alluminio";"2° A - 2° O";"2° A - 2° O";;;"143.50";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL1999";"ITALY";"Cylinder";"Steel";"40";"203";;"Medical";"Carbon Dioxide (CO2)";"White RAL 9010";"Gray RAL 7037";"DIN closed";"Steel";"Galvanized";"Residual (25E)";"Brass";"D 27 x 2";"ISO 5145 Gr.2";"Standard (derived from the gas, intended use, country)";"Yes";"Alluminio";"2° A - 2° O";"2° A - 2° O";;;"149.00";"imagecache/cylinder/ITA-O2-IND-T.jpg"
