"Object","ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo","Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
12006,"MU071","Italy","Toner, cartucce","Canon","Toner FX10","Toner FX10",1,"52.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
12007,"MU072","Italy","Toner, cartucce","Canon","Cartuccia Canon BC 02","Cartuccia Canon BC 02",1,"21.37",FALSO,FALSO,"SMR","N012",FALSO,VERO
12008,"MU073","Italy","Toner, cartucce","Canon","Cartuccia Canon BC 05","Cartuccia Canon BC 05",1,"27.06",FALSO,FALSO,"SMR","N012",FALSO,VERO
12009,"MU074","Italy","Toner, cartucce","Canon","Ink jet CLI 8C ciano","Ink jet CLI 8C ciano",1,"10.35",FALSO,FALSO,"SMR","N012",FALSO,VERO
12010,"MU075","Italy","Toner, cartucce","Canon","Ink jet CLI 8M magenta","Ink jet CLI 8M magenta",1,"10.35",FALSO,FALSO,"SMR","N012",FALSO,VERO
12011,"MU076","Italy","Toner, cartucce","Canon","Ink jet CLI 8Y giallo","Ink jet CLI 8Y giallo",1,"10.35",FALSO,FALSO,"SMR","N012",FALSO,VERO
12012,"MU077","Italy","Toner, cartucce","Canon","Ink jet PGI-5BK nero","Ink jet PGI-5BK nero",1,"11.64",FALSO,FALSO,"SMR","N012",FALSO,VERO
12013,"MU078","Italy","Toner, cartucce","Canon","Cartuccia PG 40B nero","Cartuccia PG 40B nero",1,"13.43",FALSO,FALSO,"SMR","N012",FALSO,VERO
12014,"MU079","Italy","Toner, cartucce","Canon","Cartuccia CL41C colori","Cartuccia CL41C colori",1,"16.80",FALSO,FALSO,"SMR","N012",FALSO,VERO
12015,"MU080","Italy","Toner, cartucce","Canon","Toner Canon C-EXV3","Toner Canon C-EXV3",1,"38.14",FALSO,FALSO,"SMR","N012",FALSO,VERO
